infuse_oa_lyr_2011,new_labels
E00000001,0
E00000003,6
E00000005,0
E00000007,0
E00000010,0
E00000012,2
E00000013,0
E00000014,6
E00000016,4
E00000017,0
E00000018,2
E00000019,0
E00000020,0
E00000021,0
E00000022,6
E00000023,5
E00000024,0
E00000025,0
E00000026,0
E00000027,0
E00000028,0
E00000029,0
E00000030,0
E00000031,3
E00000032,4
E00000035,0
E00000037,4
E00000038,1
E00000039,0
E00000040,0
E00000041,2
E00000042,4
E00000043,6
E00000045,3
E00000046,2
E00000048,6
E00000049,0
E00000050,3
E00000051,3
E00000052,5
E00000053,2
E00000054,0
E00000055,2
E00000056,0
E00000057,3
E00000059,0
E00000060,3
E00000061,6
E00000062,2
E00000063,4
E00000064,6
E00000065,3
E00000066,6
E00000067,3
E00000068,3
E00000069,3
E00000070,6
E00000071,3
E00000072,2
E00000073,4
E00000074,3
E00000075,3
E00000076,1
E00000077,3
E00000078,5
E00000079,5
E00000080,2
E00000081,2
E00000082,5
E00000083,3
E00000084,3
E00000085,3
E00000086,6
E00000087,2
E00000088,3
E00000090,5
E00000091,4
E00000092,1
E00000093,0
E00000094,3
E00000095,0
E00000096,0
E00000097,5
E00000098,4
E00000099,6
E00000100,2
E00000101,6
E00000102,6
E00000103,2
E00000104,2
E00000106,5
E00000107,4
E00000108,2
E00000109,6
E00000110,6
E00000111,6
E00000112,5
E00000113,6
E00000114,6
E00000115,6
E00000116,3
E00000117,5
E00000118,5
E00000119,5
E00000120,4
E00000121,5
E00000122,6
E00000123,6
E00000124,3
E00000125,2
E00000126,3
E00000127,5
E00000128,1
E00000129,3
E00000130,4
E00000131,6
E00000132,6
E00000133,3
E00000134,6
E00000135,3
E00000136,2
E00000137,4
E00000138,2
E00000139,3
E00000140,6
E00000141,3
E00000142,3
E00000143,3
E00000144,2
E00000145,2
E00000146,4
E00000147,3
E00000148,2
E00000149,1
E00000150,3
E00000151,0
E00000152,0
E00000153,3
E00000154,0
E00000155,0
E00000156,1
E00000157,4
E00000158,2
E00000159,2
E00000160,0
E00000161,5
E00000162,3
E00000163,5
E00000164,5
E00000165,5
E00000166,3
E00000167,6
E00000168,3
E00000169,6
E00000170,4
E00000171,6
E00000172,1
E00000173,2
E00000174,5
E00000175,0
E00000176,1
E00000177,4
E00000178,4
E00000179,4
E00000180,0
E00000181,5
E00000182,4
E00000183,2
E00000184,4
E00000185,3
E00000186,4
E00000187,5
E00000188,3
E00000189,2
E00000190,2
E00000191,4
E00000192,5
E00000193,6
E00000194,3
E00000195,0
E00000196,6
E00000197,6
E00000198,6
E00000199,2
E00000200,5
E00000201,5
E00000202,3
E00000203,4
E00000204,3
E00000205,0
E00000206,6
E00000207,3
E00000208,6
E00000209,3
E00000210,3
E00000211,1
E00000212,2
E00000213,0
E00000214,1
E00000215,2
E00000216,0
E00000217,1
E00000218,6
E00000219,6
E00000220,4
E00000221,6
E00000222,5
E00000223,6
E00000224,4
E00000225,0
E00000226,2
E00000227,6
E00000228,3
E00000229,5
E00000230,6
E00000231,0
E00000232,3
E00000234,5
E00000235,5
E00000236,3
E00000237,4
E00000238,1
E00000239,0
E00000240,6
E00000241,5
E00000242,5
E00000243,5
E00000244,4
E00000245,4
E00000246,2
E00000247,3
E00000248,4
E00000249,3
E00000250,3
E00000251,4
E00000252,0
E00000253,5
E00000255,6
E00000257,5
E00000258,1
E00000259,6
E00000260,3
E00000261,5
E00000263,4
E00000264,4
E00000265,4
E00000266,1
E00000267,4
E00000268,5
E00000269,1
E00000270,2
E00000271,3
E00000272,4
E00000273,6
E00000274,5
E00000275,5
E00000276,3
E00000277,6
E00000278,2
E00000279,6
E00000280,5
E00000282,4
E00000283,6
E00000284,6
E00000285,6
E00000286,5
E00000287,2
E00000288,4
E00000289,0
E00000290,0
E00000291,5
E00000292,3
E00000293,3
E00000294,3
E00000295,4
E00000296,2
E00000297,3
E00000298,6
E00000299,1
E00000300,2
E00000301,2
E00000302,6
E00000303,6
E00000304,6
E00000305,2
E00000306,3
E00000307,6
E00000308,4
E00000309,3
E00000310,6
E00000311,6
E00000312,6
E00000313,5
E00000314,1
E00000315,2
E00000316,3
E00000317,3
E00000318,4
E00000319,5
E00000320,6
E00000321,4
E00000322,1
E00000323,0
E00000324,3
E00000325,2
E00000326,2
E00000327,4
E00000328,3
E00000329,2
E00000330,1
E00000331,6
E00000332,2
E00000333,5
E00000334,3
E00000335,5
E00000336,2
E00000337,2
E00000338,4
E00000339,6
E00000340,6
E00000341,2
E00000342,3
E00000343,3
E00000344,2
E00000345,6
E00000346,5
E00000347,6
E00000348,0
E00000349,4
E00000350,2
E00000351,6
E00000352,0
E00000353,6
E00000354,4
E00000355,6
E00000356,6
E00000357,6
E00000358,2
E00000360,2
E00000361,3
E00000362,3
E00000363,5
E00000364,4
E00000365,2
E00000366,6
E00000367,4
E00000368,1
E00000369,3
E00000370,3
E00000371,3
E00000372,3
E00000373,6
E00000374,3
E00000375,3
E00000376,6
E00000377,3
E00000378,1
E00000379,5
E00000380,2
E00000381,5
E00000382,4
E00000383,3
E00000384,2
E00000385,0
E00000386,6
E00000387,0
E00000388,5
E00000389,4
E00000390,6
E00000391,3
E00000392,2
E00000393,6
E00000394,3
E00000395,2
E00000396,3
E00000397,5
E00000398,3
E00000399,2
E00000400,4
E00000401,2
E00000402,6
E00000403,1
E00000404,4
E00000405,6
E00000406,6
E00000407,4
E00000408,3
E00000409,4
E00000411,3
E00000412,5
E00000413,2
E00000414,4
E00000415,5
E00000416,6
E00000417,6
E00000418,3
E00000419,5
E00000420,3
E00000421,3
E00000422,1
E00000423,2
E00000424,6
E00000425,3
E00000426,2
E00000427,2
E00000428,5
E00000429,5
E00000430,1
E00000431,0
E00000432,5
E00000433,1
E00000434,0
E00000435,5
E00000436,3
E00000437,5
E00000438,6
E00000439,2
E00000440,2
E00000441,0
E00000442,2
E00000443,4
E00000444,1
E00000445,2
E00000446,2
E00000447,1
E00000448,2
E00000449,2
E00000450,4
E00000451,6
E00000452,2
E00000453,5
E00000454,0
E00000455,0
E00000456,5
E00000457,0
E00000458,0
E00000460,2
