infuse_oa_lyr_2011,new_labels
E00000001,1
E00000003,0
E00000005,0
E00000007,0
E00000010,0
E00000012,1
E00000013,0
E00000014,0
E00000016,0
E00000017,0
E00000018,1
E00000019,0
E00000020,0
E00000021,0
E00000022,1
E00000023,1
E00000024,0
E00000025,0
E00000026,0
E00000027,0
E00000028,0
E00000029,0
E00000030,0
E00000031,0
E00000032,0
E00000035,0
E00000037,1
E00000038,3
E00000039,1
E00000040,1
E00000041,1
E00000042,2
E00000043,2
E00000045,3
E00000046,1
E00000048,3
E00000049,4
E00000050,4
E00000051,2
E00000052,4
E00000053,4
E00000054,0
E00000055,3
E00000056,1
E00000057,3
E00000059,1
E00000060,2
E00000061,3
E00000062,1
E00000063,2
E00000064,2
E00000065,1
E00000066,4
E00000067,3
E00000068,4
E00000069,1
E00000070,5
E00000071,2
E00000072,3
E00000073,4
E00000074,3
E00000075,1
E00000076,3
E00000077,1
E00000078,2
E00000079,1
E00000080,1
E00000081,1
E00000082,2
E00000083,3
E00000084,4
E00000085,2
E00000086,4
E00000087,1
E00000088,3
E00000090,3
E00000091,2
E00000092,2
E00000093,1
E00000094,4
E00000095,1
E00000096,1
E00000097,1
E00000098,3
E00000099,5
E00000100,1
E00000101,4
E00000102,4
E00000103,4
E00000104,0
E00000106,5
E00000107,4
E00000108,4
E00000109,5
E00000110,2
E00000111,4
E00000112,5
E00000113,4
E00000114,1
E00000115,4
E00000116,5
E00000117,1
E00000118,1
E00000119,4
E00000120,4
E00000121,1
E00000122,4
E00000123,3
E00000124,1
E00000125,1
E00000126,3
E00000127,1
E00000128,3
E00000129,3
E00000130,1
E00000131,5
E00000132,4
E00000133,4
E00000134,4
E00000135,2
E00000136,1
E00000137,2
E00000138,1
E00000139,2
E00000140,4
E00000141,2
E00000142,2
E00000143,2
E00000144,2
E00000145,4
E00000146,2
E00000147,1
E00000148,4
E00000149,4
E00000150,1
E00000151,1
E00000152,1
E00000153,2
E00000154,3
E00000155,1
E00000156,2
E00000157,2
E00000158,1
E00000159,2
E00000160,2
E00000161,5
E00000162,3
E00000163,1
E00000164,2
E00000165,4
E00000166,4
E00000167,4
E00000168,2
E00000169,3
E00000170,2
E00000171,1
E00000172,3
E00000173,1
E00000174,2
E00000175,2
E00000176,5
E00000177,2
E00000178,4
E00000179,2
E00000180,1
E00000181,4
E00000182,1
E00000183,1
E00000184,5
E00000185,2
E00000186,5
E00000187,4
E00000188,5
E00000189,1
E00000190,1
E00000191,0
E00000192,3
E00000193,3
E00000194,5
E00000195,1
E00000196,3
E00000197,5
E00000198,2
E00000199,2
E00000200,3
E00000201,1
E00000202,1
E00000203,4
E00000204,1
E00000205,1
E00000206,3
E00000207,1
E00000208,4
E00000209,5
E00000210,3
E00000211,1
E00000212,3
E00000213,1
E00000214,5
