,0
2020-01-01,-0.20987687462162127
2020-01-02,0.6931200644029671
2020-01-03,0.814442071687726
2020-01-04,0.16713845533735255
2020-01-05,-0.11242521551024749
2020-01-06,1.4944244118035126
2020-01-07,1.4769778237071935
2020-01-08,1.7124840849473724
2020-01-09,1.7455574857670522
2020-01-10,1.5585552962461844
2020-01-11,0.3518998442328978
2020-01-12,-0.02869465626318819
2020-01-13,1.6380435323224873
2020-01-14,1.6336880826542295
2020-01-15,2.228980101643546
2020-01-16,2.182544900458814
2020-01-17,1.9425121147605364
2020-01-18,0.6276969611863896
2020-01-19,0.1479553197224068
2020-01-20,2.1780286357795764
2020-01-21,2.2490793381293788
2020-01-22,2.494948065986763
2020-01-23,2.1811967150834515
2020-01-24,2.040964475599837
2020-01-25,0.7288689153630412
2020-01-26,0.2170745958598815
2020-01-27,2.2852513184499554
2020-01-28,2.343763181790572
2020-01-29,2.4682431813600028
2020-01-30,2.5298918986792676
2020-01-31,2.1264321882125112
2020-02-01,0.8503106941753101
2020-02-02,0.25910436193451386
2020-02-03,2.3017602465386404
2020-02-04,2.539068969534443
2020-02-05,2.469448819692535
2020-02-06,2.51678883432951
2020-02-07,2.240602595734805
2020-02-08,0.6354069498258522
2020-02-09,0.017087177610585376
2020-02-10,2.3748937793570355
2020-02-11,2.595122706317087
2020-02-12,2.6034512593396912
2020-02-13,2.5485592590538277
2020-02-14,2.2573685093841163
2020-02-15,0.6049914984167333
2020-02-16,0.15550654216982124
2020-02-17,2.155013602833299
2020-02-18,2.3103725908132455
2020-02-19,2.1939655475401976
2020-02-20,2.166528062717735
2020-02-21,1.966098978464847
2020-02-22,0.7296319510852421
2020-02-23,0.2594238507844863
2020-02-24,2.255956347501061
2020-02-25,2.483719478073902
2020-02-26,2.4705790227406523
2020-02-27,2.4401107148325574
2020-02-28,2.071097479768222
2020-02-29,0.5540800928976459
2020-03-01,0.30380607193367376
2020-03-02,2.1758413236959178
2020-03-03,2.390508422945745
2020-03-04,2.2571364878373354
2020-03-05,2.258860468986154
2020-03-06,2.136881363860182
2020-03-07,0.7599265186297905
2020-03-08,0.17352734594490532
2020-03-09,2.042551744562256
2020-03-10,2.185521818642903
2020-03-11,2.1419529484153315
2020-03-12,1.996436236330112
2020-03-13,1.5629244409285834
2020-03-14,0.3484299615160566
2020-03-15,-0.10647281145715426
2020-03-16,1.2643507830945913
2020-03-17,0.8790856833499293
2020-03-18,0.6354146350515187
2020-03-19,0.5246716499452954
2020-03-20,0.3187746503736769
2020-03-21,-0.3366558788753219
2020-03-22,-0.5469922880681825
