,ff
0,-0.4151754583981712
1,-0.11205706547057437
2,2.590211160841406
3,1.0326985673942861
4,-0.06368710915234083
5,-0.4087261308890734
6,0.17493800868427797
7,0.10722006983875101
8,0.18783666370247357
9,-1.6889176414449878
10,0.01692948471138174
11,-0.8279324189804307
12,-0.4925673885073449
13,0.5393250129483039
14,-0.6570252399893389
15,-1.2664866895990814
16,1.068169868694324
17,2.49024658445039
18,-0.7763377989076483
19,-0.5635099911074207
20,-1.411596558553782
21,-0.20557231435249254
22,0.12334338861149552
23,1.0810685237125195
24,0.6876595456575535
25,-0.7376418338530615
26,-0.04433912662504741
27,-0.4280741134163668
