,ff
0,-1.11378223686709
1,-1.3358357644076087
2,-1.453949342886608
3,-0.6791242680643728
4,-1.0618122623363304
5,-1.12795586628457
6,-1.283865789876849
7,-1.3500093938250886
8,-1.11850678000625
9,-1.0098422878055706
10,-0.4759689130804941
11,-0.9862195721097708
12,-1.3263866781292888
13,-1.3830811957992084
14,-0.3767535071581347
15,-0.636603379811933
16,-0.8633814504916116
17,0.4405924559165401
18,0.8799749678584173
19,-0.6885733543426927
20,-0.3814780502972947
21,-0.17832269531341596
22,-0.5846334052811734
23,-0.38620259343645463
24,1.697320930933092
25,-0.3625798777406548
26,-0.5043161719154539
27,-0.19249632473089587
28,0.13349715187114206
29,-0.23029266984417565
30,0.11459897931450218
31,2.9304266902538445
32,0.27523344604594113
33,0.043730832227102626
34,0.1712934969844218
35,0.7004423285703385
36,0.5965023795088191
37,0.35555067941166063
38,2.335134254719688
39,-2.228774417708843
40,-0.20194541100921581
41,-0.18304723845257595
42,0.3838979382466205
43,0.03900628908794265
44,0.41696974022074024
45,-0.5799088621420134
46,-1.5578892919481273
47,1.5130637485058533
48,0.9839149169199367
49,0.771310475657738
50,0.49728697358645974
51,1.588656438732413
52,2.2548170213539684
53,0.3130297911592209
54,-0.3673044208798148
55,0.303580704880901
56,0.761861389379418
57,0.2657843597676212
58,-0.3153344463490551
59,-0.5751843190028535
60,2.1744997879882493
61,0.1901916695410617
62,-0.04131094427777684
63,0.16656895384526185
64,0.19964075581938165
65,0.922495856110857
66,2.4343496606420474
67,0.6957177854311785
68,0.13822169501030201
69,0.06735354792290248
70,0.9083222266933771
71,0.4878378873081398
72,-0.017688228581976988
73,1.3099083935219746
74,0.30830524802006093
75,0.6248496383437789
76,-0.8728305367699316
77,-0.650777009229413
78,-1.0570877191971704
79,-1.1752012976761697
80,-0.40037622285393454
81,-0.0791072893910566
