,ff
0,1.7106430335509133
1,1.4716183385261397
2,1.8815819063565091
3,3.4156858580609653
4,0.3634129343203711
5,-1.4705583620515283
6,-1.2315336670267547
7,-1.2634036263633912
8,-1.1721396518993867
9,-1.1431669615933535
10,-1.5241578391176898
11,-1.5835518542450577
12,-1.2532631847562796
13,-1.0663893322823657
14,-0.5651617899879919
15,-0.4825896226157974
16,-0.13491733894339938
17,0.24897080761154006
18,-0.21893814083089558
19,-0.2522567346828337
20,0.25621398018804836
21,0.1779877163617588
22,-0.08131786187723804
23,0.14756639154042397
24,0.5242113655188552
25,-0.8244673682269887
26,-0.17837637440244913
27,0.25331671115744503
28,0.5300059035800618
29,0.4257042184783424
30,0.6372048577123846
31,0.3692074723815777
32,-0.16678729828003588
33,-0.11608509024447784
34,0.3011216501623998
35,0.4141151423559291
36,0.6980475073550542
37,0.9544558165634477
38,1.1340864964608532
39,-1.7588366305965584
40,0.03747016837749795
41,0.7226742941151824
42,0.5778108425850165
43,1.1065624406701218
44,1.1514701106444731
45,0.2098576756983953
46,-1.0707352358282707
47,0.8052464614873769
48,0.6415507612582895
49,0.6937016038091491
50,0.8545000350076333
51,1.3311007905418788
52,0.8675377456453481
53,-0.4188497039425244
54,-0.01757794320396507
55,0.9819798723541792
56,1.0399252529662455
57,0.6343075886817812
58,0.37789927947338764
59,-0.004540232566250143
60,0.024432457739783024
61,-0.008886136112155118
62,0.427152852993644
63,0.26635442179515995
64,-0.026269750295775017
65,0.9544558165634477
66,0.7183283905692773
67,0.12004233574969247
68,0.28663530500938317
69,0.41121787332532583
70,0.13018277735680409
71,-0.10449601412206456
72,0.14756639154042397
73,-0.6622203025132031
74,-1.5096714939646732
75,-0.7607274495537159
76,-1.2619549918480897
77,-1.2489172812103746
78,-1.8689328537594845
79,-1.9094946201879308
80,-2.145622046182101
81,-1.9283268688868525
