,ff
0,-0.7652855929058764
1,-0.4569690950445162
2,2.512004588064878
3,2.0609489708232585
4,-0.023042172128527855
5,-0.15436216195836644
6,-0.51406474279662
7,0.30811258483367376
8,-0.34848736431551913
9,-0.8338003702084008
10,0.2567265018567804
11,-0.6625134269520896
12,-0.1772004210592079
13,-0.22858650403610128
14,-0.11439520853189382
15,-0.9194438418365564
16,0.8733594975795007
17,2.591938494917823
18,-0.5711603905487237
19,-0.4740977893701473
20,-1.1935029510466544
21,0.22817867798072855
22,-0.6910612508281415
23,0.679234295222348
24,0.8391021089282384
25,-1.1021499146432883
26,-0.4969360484709888
27,-0.622546473525617
