,ff
0,-1.4830850677549583
1,-0.4305943760296813
2,-0.4104388744840367
3,-1.3878749887753574
4,-1.494008503907318
5,0.1777000700935052
6,0.21755299360421157
7,0.3740400257094697
8,0.42622586100509846
9,0.22505845134760719
10,-1.3057377962877743
11,-1.4604277469615152
12,0.2973997881888805
13,0.364843197206999
14,0.7998426143066188
15,0.8475886013596755
16,0.5245015494855229
17,-1.1876589751698459
18,-1.3761763410250882
19,0.7413846124460867
20,0.8183419819840024
21,0.9894523237770971
22,0.8091099165907176
23,0.5576594637415571
24,-1.124303045486159
25,-1.3739916537946162
26,0.7755291596449148
27,0.9497051109388329
28,1.0430476347052884
29,1.114402338603768
30,0.6746107043534355
31,-1.0804331164226493
32,-1.3582760004915437
33,0.7921257352183388
34,1.0343441226742147
35,1.0530196748056686
36,1.139808136880708
37,0.7262679862868533
38,-1.1152824014377585
39,-1.4193062953815025
40,0.8537198203613227
41,1.1541495514420321
42,1.1648263293586936
43,1.2487958401686081
44,0.7348305507546709
45,-1.1555581676382336
46,-1.3818142435553384
47,0.6820104514243889
48,0.9055532867488107
49,0.8945241399240088
50,0.8855739696572366
51,0.5696047697275248
52,-1.083569199705101
53,-1.3268446938853986
54,0.7418074551358554
55,1.0893841461257825
56,1.0354012293986365
57,1.088538460746245
58,0.6166460189643002
59,-1.1066141262974987
60,-1.2739188838826745
61,0.7620686673539423
62,0.9292324773758618
63,0.8999153842185605
64,0.8983297241319277
65,0.6369424680732011
66,-1.0994962743530579
67,-1.3643719826023768
68,0.6262656901565397
69,0.7887429937001887
70,0.6610445013900208
71,0.5563204618906227
72,0.032876448847702244
73,-1.2473502682088704
74,-1.4496804952632256
75,-0.25627747717250676
76,-0.6999451694123864
77,-0.9994587413319302
78,-1.0804683533134634
79,-1.215214223786444
80,-1.5687107124331339
81,-1.6137786957843216
