,ff
0,-0.7283086110822791
1,-0.6803259261168584
2,1.5885696058194652
3,1.3486561809923614
4,-0.7145992725207303
5,0.03255967908367836
6,-0.5021045248167242
7,-0.035987013724065556
8,-0.48839518625517536
9,-0.8379833195746693
10,1.2321268032191968
11,-0.4061391548858827
12,-0.3444471313589132
13,-0.3787204777627851
14,-0.5843605561860169
15,-0.4404125012897546
16,0.8619746620573797
17,3.1377248632744776
18,-0.5226685326590473
19,-0.5775058869052425
20,-0.6186339025898888
21,-0.24848176142807168
22,-0.29646444639349245
23,0.34101979671852595
24,2.0135591012274774
25,-0.8311286502938949
26,-0.5637965483436936
27,-0.7557272882053766
