,0
2020-12-03,0.006362821934438235
2020-12-04,0.33487041293348213
2020-12-05,0.09264066373569739
2020-12-06,-0.256109883452602
2020-12-07,-0.09354339803184007
2020-12-08,-0.11204110660380494
2020-12-09,-0.13802152887360541
2020-12-10,-0.16405877363388535
2020-12-11,-0.12413378551506445
2020-12-12,-0.27033497524463385
2020-12-13,-0.6633690636788788
2020-12-14,-0.29034640241631415
2020-12-15,-0.2010079097511535
2020-12-16,-0.3771465934519789
2020-12-17,-0.34810377112920315
2020-12-18,-0.3922787252947834
2020-12-19,-0.4363418665166027
2020-12-20,-0.7655173304921383
2020-12-21,-0.6915943492967276
2020-12-22,-0.6212373497479317
2020-12-23,-0.652429713492906
2020-12-24,-0.6596978326139049
2020-12-25,-1.1345695759658916
2020-12-26,-1.0612557619916403
2020-12-27,-0.9794997683100278
2020-12-28,-0.9791229581228377
2020-12-29,-0.8467177202508043
2020-12-30,-0.8243615896033116
2020-12-31,-0.8354720085975492
2021-01-01,-1.1187665508473803
2021-01-02,-0.9374959889524256
2021-01-03,-1.061279994155007
2021-01-04,-0.932524494657104
2021-01-05,-0.9120577534383312
