,0
2020-03-23,-0.10484139424798848
2020-03-24,-0.3491950993894624
2020-03-25,-0.3905920944874206
2020-03-26,-0.444089920716194
2020-03-27,-0.45779523828566426
2020-03-28,-0.6922182231232271
2020-03-29,-0.891692632222149
2020-03-30,-0.6389748679957153
2020-03-31,-0.5972045104914137
2020-04-01,-0.563108992418851
2020-04-02,-0.5309886052576808
2020-04-03,-0.4566710092280757
2020-04-04,-0.5685505439108708
2020-04-05,-0.7166789324984872
2020-04-06,-0.5448795267309352
2020-04-07,-0.473186373123773
2020-04-08,-0.4715396726822337
2020-04-09,-0.4041335335194699
2020-04-10,-0.5244349747587355
2020-04-11,-0.5363184712772574
2020-04-12,-0.7899269158374578
2020-04-13,-0.7228941035183017
2020-04-14,-0.4644185651134065
2020-04-15,-0.4412278692994552
2020-04-16,-0.4463173600275691
2020-04-17,-0.5266978514710037
2020-04-18,-0.5805103863587416
2020-04-19,-0.6226630945599421
2020-04-20,-0.44312620213694026
2020-04-21,-0.4026566795804406
2020-04-22,-0.3716279001522104
2020-04-23,-0.3623247083350847
2020-04-24,-0.3486193272287319
2020-04-25,-0.46416541333333067
2020-04-26,-0.576591637014933
2020-04-27,-0.38051989603955094
2020-04-28,-0.621365194980976
2020-04-29,-0.42137876933939705
2020-04-30,-0.543334279740065
2020-05-01,-0.3751376435879106
2020-05-02,-0.3584736376424952
2020-05-03,-0.6699387638602833
2020-05-04,-0.3509643952801172
2020-05-05,-0.3430820371779724
2020-05-06,-0.29715266591346506
2020-05-07,-0.2689684264570281
2020-05-08,-0.38015288827508315
2020-05-09,-0.39926495515248916
2020-05-10,-0.7374229636271862
2020-05-11,-0.443597219578357
2020-05-12,-0.31570636746076575
2020-05-13,-0.3513491884131855
2020-05-14,-0.3171934060570157
2020-05-15,-0.2562956363642182
2020-05-16,-0.29934754389626794
2020-05-17,-0.4588180427686712
2020-05-18,-0.18229027899584965
2020-05-19,-0.12996742255994462
2020-05-20,-0.10821063554374907
2020-05-21,-0.14802354253213681
2020-05-22,-0.05873637818183551
2020-05-23,-0.2678643879002493
2020-05-24,-0.38029152482403816
2020-05-25,-0.2747253147372292
2020-05-26,-0.10545934194992991
2020-05-27,-0.08905074781223793
2020-05-28,-0.06579140910227402
2020-05-29,-0.009250858736868
2020-05-30,-0.10599567114947661
2020-05-31,-0.37293354888616886
2020-06-01,-0.09264473217553063
2020-06-02,-0.03172215278635609
2020-06-03,-0.20578376071159743
2020-06-04,-0.16904715293801237
2020-06-05,-0.11650982699003956
2020-06-06,-0.3830093608287318
2020-06-07,-0.5429320942067659
2020-06-08,-0.08351599720156559
2020-06-09,0.022733187424182993
2020-06-10,-0.1811818473877451
2020-06-11,-0.09179372628398196
2020-06-12,0.007713490033503019
2020-06-13,0.06833462097532281
2020-06-14,-0.23526421097842593
2020-06-15,0.03832197177079292
2020-06-16,0.09318562100327797
2020-06-17,0.04128821580678775
2020-06-18,0.03797837663900259
2020-06-19,0.21005405993986367
2020-06-20,0.18628689795804818
2020-06-21,-0.20176398870676013
2020-06-22,0.156162327377462
2020-06-23,0.19431955331204012
2020-06-24,0.16489061899272597
2020-06-25,0.1817476511633888
2020-06-26,0.2663655094276144
2020-06-27,0.051135070044064306
2020-06-28,-0.22347791218101265
2020-06-29,0.13358547834042098
2020-06-30,0.1181680631752685
2020-07-01,0.2638838257612629
2020-07-02,0.2489734085458391
2020-07-03,0.38905099178138824
