,ff
0,-0.7059278799819637
1,-1.2720956259715999
2,-1.3086225773257698
3,0.09766504980977785
4,-0.10323318263815755
5,-1.0529339178465793
6,-1.2081734611018022
7,-0.9890117529767818
8,-0.9890117529767818
9,-0.9890117529767818
10,-0.3315266286017205
11,0.5268567282212762
12,-1.1899099854247173
13,-0.9981434908153243
14,-0.6420057151121661
15,-0.8611674232371865
16,-0.7881135205288464
17,0.9195214552786044
18,2.0244617337422492
19,-0.6785326664663361
20,-0.6694009286277937
21,-0.34065836644026304
22,-0.9890117529767818
23,-0.3954487934715181
24,-0.2767362015704654
25,1.476557463429698
26,-1.0072752286538669
27,-0.7150596178205062
28,-0.08496970696107252
29,-0.4319757448256882
30,-0.40458053131006066
31,1.3578448715286453
32,0.9743118823098595
33,-0.6237422394350811
34,-0.7150596178205062
35,0.16158721467957546
36,-0.03931101776835993
37,0.13419200116394792
38,2.5084438391850026
39,-0.7059278799819637
40,-0.2310775123777528
41,-0.35892184211734807
42,-0.568951812403826
43,-0.815508734044474
44,-0.22194577453921027
45,-0.3863170556329756
46,-0.9890117529767818
47,-0.7150596178205062
48,-0.21281403670066776
49,-0.40458053131006066
50,-0.9798800151382393
51,-0.02104754209127489
52,1.248264017466135
53,1.9422760931953664
54,-0.5598200745652835
55,0.35335370928896837
56,-0.18541882318504022
57,-0.3863170556329756
58,-0.9433530637840691
59,0.052006360617065255
60,2.3897312472839496
61,-0.02104754209127489
62,0.042874622778522734
63,-0.5780835502423685
64,-0.6511374529507086
65,0.5725154174139888
66,3.083743323013181
67,1.933144355356824
68,-0.20368229886212524
69,0.3716171849660534
70,0.6273058444452438
71,0.11592852548686287
72,0.06113809845560777
73,0.8282040768931792
74,1.3852400850442728
75,0.10679678764832036
76,0.3716171849660534
77,0.49946151470564865
78,-0.29499967724755044
79,0.5816471552525313
80,1.8600904526484838
81,2.627156431086055
