,0
2020-03-23,0.30205005202591484
2020-03-24,0.16619373800640047
2020-03-25,0.153636749882578
2020-03-26,0.1432527152725394
2020-03-27,0.1389203533488442
2020-03-28,-0.03694931440594635
2020-03-29,-0.14280021708950114
2020-03-30,0.02809357800317075
2020-03-31,0.03855792048015
2020-04-01,0.10987768674857801
2020-04-02,0.13576985323855667
2020-04-03,0.11417950035400644
2020-04-04,0.09133601481468602
2020-04-05,0.06201456650383847
2020-04-06,0.1334425608520996
2020-04-07,0.20031224585323265
2020-04-08,0.22119096062992274
2020-04-09,0.3292014979888149
2020-04-10,0.27764747945359347
2020-04-11,0.28455983968306664
2020-04-12,0.15504681153407285
2020-04-13,0.16723724361025752
2020-04-14,0.3130614209885713
2020-04-15,0.3592133651620823
2020-04-16,0.37452379092339405
2020-04-17,0.3508437308176396
2020-04-18,0.32403977374977433
2020-04-19,0.41495195297446036
2020-04-20,0.5424954278603324
2020-04-21,0.5924699235775105
2020-04-22,0.661089009830253
2020-04-23,0.6383442586865461
2020-04-24,0.6488812845650332
2020-04-25,0.603989977061988
2020-04-26,0.5311559819931371
2020-04-27,0.6393096739983273
2020-04-28,0.5696612925611195
2020-04-29,0.7458605752519896
2020-04-30,0.6822272072469879
2020-05-01,0.7050175622564385
2020-05-02,0.7697509359072929
2020-05-03,0.5379538079705368
2020-05-04,0.7645705292648654
2020-05-05,0.8041594783473528
2020-05-06,0.8030012024139102
2020-05-07,0.7032926087395789
2020-05-08,0.7699962023999907
2020-05-09,0.828536575154201
2020-05-10,0.6410193046390568
2020-05-11,0.6970228207434389
2020-05-12,0.8558347262556482
2020-05-13,0.8417430404640585
2020-05-14,0.7782067289088781
2020-05-15,0.7157414871864729
2020-05-16,0.718803776805913
2020-05-17,0.6256063826190815
2020-05-18,0.6851568032327946
2020-05-19,0.6336640295146845
2020-05-20,0.6594164683010718
2020-05-21,0.583130043938469
2020-05-22,0.5346366252507964
2020-05-23,0.4170124796161365
2020-05-24,0.3221819164139962
2020-05-25,0.3739872404688654
2020-05-26,0.39701445591630224
2020-05-27,0.26999314129961927
2020-05-28,0.25148551028229893
2020-05-29,0.2275157787099968
2020-05-30,0.16765877900390952
2020-05-31,0.010966625414524003
2020-06-01,0.13716453131323267
2020-06-02,0.1237576466396064
2020-06-03,-0.025838934269840845
2020-06-04,-0.006630602244660452
2020-06-05,0.011719764122516912
2020-06-06,-0.1524317829301898
2020-06-07,-0.2591730986029454
2020-06-08,-0.034770346649994836
2020-06-09,0.07477634504713118
2020-06-10,-0.13354641785953555
2020-06-11,-0.11959119979859073
2020-06-12,-0.10308809415320577
2020-06-13,-0.02376976426486998
2020-06-14,-0.16297910434606747
2020-06-15,-0.08145639763118323
2020-06-16,-0.10512773770471336
2020-06-17,-0.15680376824186654
2020-06-18,-0.15649915219393792
2020-06-19,-0.10468639649435608
2020-06-20,-0.03281440928757883
2020-06-21,-0.2189884160724172
2020-06-22,-0.11228000923446028
2020-06-23,-0.08862290964145163
2020-06-24,-0.10486531168628992
2020-06-25,-0.07663436840451313
2020-06-26,-0.006037070353936863
2020-06-27,-0.11288527445117906
2020-06-28,-0.26205193124147885
2020-06-29,-0.1348967347157852
2020-06-30,-0.19278932916941643
2020-07-01,-0.06471535690965616
2020-07-02,-0.05908897533403577
2020-07-03,0.0441180088723783
