,ff
0,0.6675699679544878
1,0.35772533181458416
2,-1.3801804783987006
3,-1.6888997708238103
4,0.42074457984303915
5,0.6987044773971173
6,0.7122086019746433
7,0.6469386665166007
8,0.3277161660867485
9,-1.530226307037879
10,-1.7973078820156168
11,0.6634437076669103
12,0.8149899945924806
13,0.7620988399971702
14,0.5876705642041252
15,0.38285800811164655
16,-1.2290093060447282
17,-1.6506380845208197
18,0.4957674941626284
19,0.624056677649126
20,0.5621627733354648
21,0.6570667599497453
22,0.2868286777825723
23,-1.25789312805777
24,-1.6528887719504075
25,0.609427209356806
26,0.8727576386185643
27,1.0363075918352689
