,0
2021-01-06,-0.8511703008743977
2021-01-07,-0.860737257529001
2021-01-08,-0.8482736216283884
2021-01-09,-0.910233668601709
2021-01-10,-1.088861393985354
2021-01-11,-0.8681109150384811
2021-01-12,-0.8408792851161976
2021-01-13,-0.9267307699609887
2021-01-14,-0.9298322222314032
2021-01-15,-0.809884490720902
2021-01-16,-0.9672051644800523
2021-01-17,-0.9484102519352338
2021-01-18,-0.83941949929064
2021-01-19,-0.8418111877741572
2021-01-20,-0.8801408074574205
2021-01-21,-0.8100865610888631
2021-01-22,-0.7234332556363555
2021-01-23,-0.8333044918378558
2021-01-24,-1.0607147901463452
2021-01-25,-0.8447338444457515
2021-01-26,-0.8548666750828697
2021-01-27,-0.8298079592589603
2021-01-28,-0.803068335700387
2021-01-29,-0.7496951741912653
2021-01-30,-1.0111929061244707
2021-01-31,-0.9945282815338203
2021-02-01,-0.8246378407036048
2021-02-02,-0.7733650781768235
2021-02-03,-0.80903322677136
2021-02-04,-0.8170200817154538
2021-02-05,-0.6550732554050632
2021-02-06,-0.8152083178348295
2021-02-07,-1.1028533669782654
2021-02-08,-0.8680225764985634
2021-02-09,-0.8465602090247115
2021-02-10,-0.7935849503378839
2021-02-11,-0.8213255700559774
2021-02-12,-0.7820390979555718
2021-02-13,-0.8284349954974135
2021-02-14,-0.7832479596486842
2021-02-15,-0.738060923799955
2021-02-16,-0.7555963776617949
2021-02-17,-0.7820336222368507
2021-02-18,-0.7017919655577664
2021-02-19,-0.6846965758475514
2021-02-20,-0.6975337255192907
2021-02-21,-0.7471443305773391
2021-02-22,-0.7967549356353875
2021-02-23,-0.6826410347317133
2021-02-24,-0.6845442773549526
2021-02-25,-0.7287762813118046
2021-02-26,-0.6060590735107714
2021-02-27,-0.6995286155135128
