,infuse_oa_lyr_2011,new_labels
0,E00000001,2
1,E00000003,3
2,E00000005,0
3,E00000007,0
4,E00000010,3
5,E00000012,5
6,E00000013,3
7,E00000014,4
8,E00000016,5
9,E00000017,0
10,E00000018,1
11,E00000019,3
12,E00000020,6
13,E00000021,0
14,E00000022,5
15,E00000023,6
16,E00000024,0
17,E00000025,0
18,E00000026,0
19,E00000027,0
20,E00000028,0
21,E00000029,0
22,E00000030,0
23,E00000031,3
24,E00000032,5
25,E00000035,0
26,E00000037,4
27,E00000038,3
28,E00000039,5
29,E00000040,4
30,E00000041,6
31,E00000042,5
32,E00000043,5
33,E00000045,2
34,E00000046,6
35,E00000048,4
36,E00000049,4
37,E00000050,6
38,E00000051,6
39,E00000052,2
40,E00000053,5
41,E00000054,0
42,E00000055,5
43,E00000056,0
44,E00000057,6
45,E00000059,6
46,E00000060,4
47,E00000061,3
48,E00000062,3
49,E00000063,3
50,E00000064,4
51,E00000065,5
52,E00000066,4
53,E00000067,5
54,E00000068,5
55,E00000069,5
56,E00000070,4
57,E00000071,3
58,E00000072,4
59,E00000073,2
60,E00000074,4
61,E00000075,4
62,E00000076,5
63,E00000077,0
64,E00000078,2
65,E00000079,3
66,E00000080,3
67,E00000081,6
68,E00000082,3
69,E00000083,5
70,E00000084,6
71,E00000085,3
72,E00000086,1
73,E00000087,4
74,E00000088,5
75,E00000090,4
76,E00000091,3
77,E00000092,4
78,E00000093,0
79,E00000094,6
80,E00000095,3
81,E00000096,0
82,E00000097,0
83,E00000098,1
84,E00000099,3
85,E00000100,6
86,E00000101,2
87,E00000102,5
88,E00000103,5
89,E00000104,3
90,E00000106,3
91,E00000107,6
92,E00000108,4
93,E00000109,5
94,E00000110,3
95,E00000111,4
96,E00000112,2
97,E00000113,5
98,E00000114,4
99,E00000115,3
100,E00000116,4
101,E00000117,5
102,E00000118,3
103,E00000119,4
104,E00000120,3
105,E00000121,1
106,E00000122,4
107,E00000123,5
108,E00000124,5
109,E00000125,1
110,E00000126,1
111,E00000127,3
112,E00000128,2
113,E00000129,5
114,E00000130,1
115,E00000131,6
116,E00000132,4
117,E00000133,6
118,E00000134,5
119,E00000135,3
120,E00000136,6
121,E00000137,6
122,E00000138,3
123,E00000139,6
124,E00000140,2
125,E00000141,3
126,E00000142,6
127,E00000143,5
128,E00000144,6
129,E00000145,1
130,E00000146,1
131,E00000147,1
132,E00000148,4
133,E00000149,2
134,E00000150,4
135,E00000151,1
136,E00000152,1
137,E00000153,4
138,E00000154,4
139,E00000155,5
140,E00000156,4
141,E00000157,1
142,E00000158,3
143,E00000159,2
144,E00000160,3
145,E00000161,5
146,E00000162,6
147,E00000163,5
148,E00000164,2
149,E00000165,6
150,E00000166,2
151,E00000167,4
152,E00000168,5
153,E00000169,5
154,E00000170,5
155,E00000171,1
156,E00000172,5
157,E00000173,3
158,E00000174,0
159,E00000175,0
160,E00000176,1
161,E00000177,3
162,E00000178,4
163,E00000179,4
164,E00000180,0
165,E00000181,4
166,E00000182,3
167,E00000183,1
168,E00000184,4
169,E00000185,5
170,E00000186,3
171,E00000187,4
172,E00000188,6
173,E00000189,6
174,E00000190,1
175,E00000191,6
176,E00000192,6
177,E00000193,4
178,E00000194,4
179,E00000195,6
180,E00000196,2
181,E00000197,4
182,E00000198,6
183,E00000199,0
184,E00000200,4
185,E00000201,5
186,E00000202,2
187,E00000203,4
188,E00000204,1
189,E00000205,6
190,E00000206,4
191,E00000207,4
192,E00000208,1
193,E00000209,6
194,E00000210,5
195,E00000211,6
196,E00000212,4
197,E00000213,1
198,E00000214,3
199,E00000215,2
200,E00000216,1
201,E00000217,4
202,E00000218,5
203,E00000219,4
204,E00000220,4
205,E00000221,4
206,E00000222,3
207,E00000223,3
208,E00000224,6
209,E00000225,1
210,E00000226,0
211,E00000227,3
212,E00000228,6
213,E00000229,5
214,E00000230,5
215,E00000231,3
216,E00000232,1
217,E00000234,5
218,E00000235,3
219,E00000236,1
220,E00000237,6
221,E00000238,3
222,E00000239,4
223,E00000240,2
224,E00000241,6
225,E00000242,1
226,E00000243,1
227,E00000244,3
228,E00000245,5
229,E00000246,3
230,E00000247,6
231,E00000248,6
232,E00000249,3
233,E00000250,6
234,E00000251,4
235,E00000252,4
236,E00000253,1
237,E00000255,6
238,E00000257,0
239,E00000258,4
240,E00000259,6
241,E00000260,5
242,E00000261,3
243,E00000263,6
244,E00000264,3
245,E00000265,6
246,E00000266,6
247,E00000267,0
248,E00000268,2
249,E00000269,2
250,E00000270,3
251,E00000271,3
252,E00000272,5
253,E00000273,3
254,E00000274,3
255,E00000275,3
256,E00000276,3
257,E00000277,4
258,E00000278,3
259,E00000279,3
260,E00000280,0
261,E00000282,1
262,E00000283,4
263,E00000284,3
264,E00000285,3
265,E00000286,6
266,E00000287,4
267,E00000288,3
268,E00000289,4
269,E00000290,4
270,E00000291,4
271,E00000292,5
272,E00000293,3
273,E00000294,4
274,E00000295,4
275,E00000296,1
276,E00000297,3
277,E00000298,3
278,E00000299,4
279,E00000300,3
280,E00000301,6
