,infuse_oa_lyr_2011,new_labels
0,E00000001,1
1,E00000003,0
2,E00000005,0
3,E00000007,0
4,E00000010,0
5,E00000012,1
6,E00000013,0
7,E00000014,0
8,E00000016,0
9,E00000017,0
10,E00000018,1
11,E00000019,0
12,E00000020,0
13,E00000021,0
14,E00000022,1
15,E00000023,1
16,E00000024,0
17,E00000025,0
18,E00000026,0
19,E00000027,0
20,E00000028,0
21,E00000029,0
22,E00000030,0
23,E00000031,0
24,E00000032,0
25,E00000035,0
26,E00000037,1
27,E00000038,3
28,E00000039,1
29,E00000040,1
30,E00000041,1
31,E00000042,2
32,E00000043,2
33,E00000045,3
34,E00000046,1
35,E00000048,3
36,E00000049,4
37,E00000050,4
38,E00000051,2
39,E00000052,4
40,E00000053,4
41,E00000054,0
42,E00000055,3
43,E00000056,1
44,E00000057,3
45,E00000059,1
46,E00000060,2
47,E00000061,3
48,E00000062,1
49,E00000063,2
50,E00000064,2
51,E00000065,1
52,E00000066,4
53,E00000067,3
54,E00000068,4
55,E00000069,1
56,E00000070,5
57,E00000071,2
58,E00000072,3
59,E00000073,4
60,E00000074,3
61,E00000075,1
62,E00000076,3
63,E00000077,1
64,E00000078,2
65,E00000079,1
66,E00000080,1
67,E00000081,1
68,E00000082,2
69,E00000083,3
70,E00000084,4
71,E00000085,2
72,E00000086,4
73,E00000087,1
74,E00000088,3
75,E00000090,3
76,E00000091,2
77,E00000092,2
78,E00000093,1
79,E00000094,4
80,E00000095,1
81,E00000096,1
82,E00000097,1
83,E00000098,3
84,E00000099,5
85,E00000100,1
86,E00000101,4
87,E00000102,4
88,E00000103,4
89,E00000104,0
90,E00000106,5
91,E00000107,4
92,E00000108,4
93,E00000109,5
94,E00000110,2
95,E00000111,4
96,E00000112,5
97,E00000113,4
98,E00000114,1
99,E00000115,4
100,E00000116,5
101,E00000117,1
102,E00000118,1
103,E00000119,4
104,E00000120,4
105,E00000121,1
106,E00000122,4
107,E00000123,3
108,E00000124,1
109,E00000125,1
110,E00000126,3
111,E00000127,1
112,E00000128,3
113,E00000129,3
114,E00000130,1
115,E00000131,5
116,E00000132,4
117,E00000133,4
118,E00000134,4
119,E00000135,2
120,E00000136,1
121,E00000137,2
122,E00000138,1
123,E00000139,2
124,E00000140,4
125,E00000141,2
126,E00000142,2
127,E00000143,2
128,E00000144,2
129,E00000145,4
130,E00000146,2
131,E00000147,1
132,E00000148,4
133,E00000149,4
134,E00000150,1
135,E00000151,1
136,E00000152,1
137,E00000153,2
138,E00000154,3
139,E00000155,1
140,E00000156,2
141,E00000157,2
142,E00000158,1
143,E00000159,2
144,E00000160,2
145,E00000161,5
146,E00000162,3
147,E00000163,1
148,E00000164,2
149,E00000165,4
150,E00000166,4
151,E00000167,4
152,E00000168,2
153,E00000169,3
154,E00000170,2
155,E00000171,1
156,E00000172,3
157,E00000173,1
158,E00000174,2
159,E00000175,2
160,E00000176,5
161,E00000177,2
162,E00000178,4
163,E00000179,2
164,E00000180,1
165,E00000181,4
166,E00000182,1
167,E00000183,1
168,E00000184,5
169,E00000185,2
170,E00000186,5
171,E00000187,4
172,E00000188,5
173,E00000189,1
174,E00000190,1
175,E00000191,0
176,E00000192,3
177,E00000193,3
178,E00000194,5
179,E00000195,1
180,E00000196,3
181,E00000197,5
182,E00000198,2
183,E00000199,2
184,E00000200,3
185,E00000201,1
186,E00000202,1
187,E00000203,4
188,E00000204,1
189,E00000205,1
190,E00000206,3
191,E00000207,1
192,E00000208,4
193,E00000209,5
194,E00000210,3
195,E00000211,1
196,E00000212,3
197,E00000213,1
198,E00000214,5
199,E00000215,3
200,E00000216,1
201,E00000217,1
202,E00000218,3
203,E00000219,2
204,E00000220,1
205,E00000221,5
206,E00000222,1
207,E00000223,3
208,E00000224,4
209,E00000225,1
210,E00000226,1
211,E00000227,1
212,E00000228,1
213,E00000229,4
214,E00000230,5
215,E00000231,4
216,E00000232,1
217,E00000234,1
218,E00000235,3
219,E00000236,5
220,E00000237,5
221,E00000238,4
222,E00000239,4
223,E00000240,3
224,E00000241,4
225,E00000242,4
226,E00000243,3
227,E00000244,1
228,E00000245,3
229,E00000246,3
230,E00000247,2
231,E00000248,1
232,E00000249,1
233,E00000250,2
234,E00000251,2
235,E00000252,1
236,E00000253,3
237,E00000255,4
238,E00000257,1
239,E00000258,3
240,E00000259,5
241,E00000260,1
242,E00000261,2
243,E00000263,3
244,E00000264,1
245,E00000265,3
246,E00000266,2
247,E00000267,1
248,E00000268,4
249,E00000269,3
250,E00000270,3
251,E00000271,1
252,E00000272,4
253,E00000273,2
254,E00000274,3
255,E00000275,5
256,E00000276,1
257,E00000277,5
258,E00000278,2
259,E00000279,4
260,E00000280,1
261,E00000282,1
262,E00000283,2
263,E00000284,1
264,E00000285,3
265,E00000286,4
266,E00000287,1
267,E00000288,3
268,E00000289,1
269,E00000290,3
270,E00000291,3
271,E00000292,3
272,E00000293,3
273,E00000294,5
274,E00000295,1
275,E00000296,1
276,E00000297,1
277,E00000298,2
278,E00000299,2
279,E00000300,3
280,E00000301,1
281,E00000302,4
282,E00000303,4
283,E00000304,4
284,E00000305,1
285,E00000306,4
286,E00000307,3
287,E00000308,1
288,E00000309,3
289,E00000310,2
290,E00000311,4
291,E00000312,3
292,E00000313,1
293,E00000314,5
294,E00000315,2
295,E00000316,1
296,E00000317,3
297,E00000318,1
298,E00000319,3
299,E00000320,4
300,E00000321,1
301,E00000322,1
302,E00000323,1
303,E00000324,3
304,E00000325,1
305,E00000326,2
306,E00000327,1
307,E00000328,3
308,E00000329,3
309,E00000330,3
310,E00000331,5
311,E00000332,3
312,E00000333,5
313,E00000334,3
314,E00000335,4
315,E00000336,1
316,E00000337,1
317,E00000338,4
318,E00000339,5
319,E00000340,1
320,E00000341,1
321,E00000342,1
322,E00000343,1
323,E00000344,1
324,E00000345,2
325,E00000346,3
326,E00000347,3
327,E00000348,0
328,E00000349,1
329,E00000350,4
330,E00000351,1
331,E00000352,0
332,E00000353,4
333,E00000354,5
334,E00000355,3
335,E00000356,3
336,E00000357,3
337,E00000358,1
338,E00000360,1
339,E00000361,1
340,E00000362,1
341,E00000363,1
342,E00000364,1
343,E00000365,1
344,E00000366,4
345,E00000367,4
346,E00000368,4
347,E00000369,3
348,E00000370,4
349,E00000371,1
350,E00000372,4
351,E00000373,5
352,E00000374,2
353,E00000375,4
354,E00000376,3
355,E00000377,2
356,E00000378,3
357,E00000379,2
358,E00000380,4
359,E00000381,2
360,E00000382,3
361,E00000383,2
362,E00000384,2
363,E00000385,4
364,E00000386,3
365,E00000387,1
366,E00000388,4
367,E00000389,1
368,E00000390,3
369,E00000391,4
370,E00000392,1
371,E00000393,5
372,E00000394,1
373,E00000395,4
374,E00000396,5
375,E00000397,1
376,E00000398,5
377,E00000399,2
378,E00000400,5
379,E00000401,1
380,E00000402,1
381,E00000403,3
382,E00000404,2
383,E00000405,4
384,E00000406,4
385,E00000407,1
386,E00000408,4
387,E00000409,5
388,E00000411,5
389,E00000412,1
390,E00000413,1
391,E00000414,1
392,E00000415,4
393,E00000416,3
394,E00000417,2
395,E00000418,4
396,E00000419,1
397,E00000420,3
398,E00000421,4
399,E00000422,3
400,E00000423,3
401,E00000424,1
402,E00000425,1
403,E00000426,3
404,E00000427,2
405,E00000428,4
406,E00000429,1
407,E00000430,2
408,E00000431,1
409,E00000432,5
410,E00000433,3
411,E00000434,1
412,E00000435,3
413,E00000436,2
414,E00000437,4
415,E00000438,2
416,E00000439,1
417,E00000440,1
418,E00000441,1
419,E00000442,1
420,E00000443,4
421,E00000444,3
422,E00000445,4
423,E00000446,3
424,E00000447,5
425,E00000448,5
426,E00000449,1
427,E00000450,1
428,E00000451,3
429,E00000452,1
430,E00000453,1
431,E00000454,2
432,E00000455,1
433,E00000456,4
434,E00000457,1
435,E00000458,1
436,E00000460,5
437,E00000461,4
438,E00000462,1
439,E00000463,1
440,E00000464,1
441,E00000465,1
442,E00000466,4
443,E00000467,4
444,E00000468,2
445,E00000469,1
446,E00000470,1
447,E00000471,1
448,E00000472,1
449,E00000474,1
450,E00000475,1
451,E00000476,5
452,E00000477,1
453,E00000478,1
454,E00000479,5
455,E00000480,5
456,E00000481,4
457,E00000482,1
458,E00000483,3
459,E00000484,1
460,E00000485,1
461,E00000486,1
462,E00000487,2
463,E00000488,2
464,E00000489,1
465,E00000490,1
466,E00000491,5
467,E00000492,1
468,E00000493,3
469,E00000494,1
470,E00000495,2
471,E00000496,3
472,E00000497,2
473,E00000498,1
474,E00000499,5
475,E00000500,5
476,E00000501,5
477,E00000502,3
478,E00000503,4
479,E00000504,3
480,E00000505,4
481,E00000506,4
482,E00000507,4
483,E00000508,5
484,E00000509,1
485,E00000510,1
486,E00000511,1
487,E00000512,3
488,E00000513,3
489,E00000514,4
490,E00000515,3
491,E00000516,4
492,E00000517,2
493,E00000518,3
494,E00000519,4
495,E00000520,2
496,E00000521,3
497,E00000522,4
498,E00000523,4
499,E00000524,3
500,E00000525,1
501,E00000526,2
502,E00000527,4
503,E00000528,3
504,E00000529,3
505,E00000530,1
506,E00000531,3
507,E00000532,5
508,E00000533,1
509,E00000534,5
510,E00000535,5
511,E00000536,3
512,E00000537,4
513,E00000538,1
514,E00000539,4
515,E00000540,1
516,E00000541,1
517,E00000542,4
518,E00000543,4
519,E00000544,5
520,E00000545,2
521,E00000546,1
522,E00000547,4
523,E00000548,4
524,E00000549,0
525,E00000550,2
526,E00000551,3
527,E00000552,3
528,E00000553,3
529,E00000554,3
530,E00000555,5
531,E00000556,1
532,E00000557,5
533,E00000558,1
534,E00000559,5
535,E00000560,3
536,E00000561,1
537,E00000562,5
538,E00000563,1
539,E00000564,4
540,E00000565,4
541,E00000566,1
542,E00000567,0
543,E00000568,1
544,E00000569,1
545,E00000570,2
546,E00000571,1
547,E00000572,0
548,E00000573,2
549,E00000574,4
550,E00000575,0
551,E00000576,3
552,E00000577,3
553,E00000578,3
554,E00000579,5
555,E00000580,3
556,E00000581,5
557,E00000582,1
558,E00000583,4
559,E00000584,3
560,E00000585,3
561,E00000586,0
562,E00000587,3
563,E00000588,4
564,E00000589,2
565,E00000590,1
566,E00000591,2
567,E00000592,1
568,E00000593,4
569,E00000594,1
570,E00000595,3
571,E00000596,2
572,E00000597,0
573,E00000598,3
574,E00000600,1
575,E00000601,2
576,E00000602,1
577,E00000603,4
578,E00000604,5
579,E00000605,2
580,E00000606,1
581,E00000607,2
582,E00000608,5
583,E00000609,0
584,E00000610,1
585,E00000611,3
586,E00000612,3
587,E00000613,1
588,E00000614,5
589,E00000615,1
590,E00000616,3
591,E00000617,1
592,E00000618,3
593,E00000619,1
594,E00000620,4
595,E00000622,5
