,labels
0,4
1,1
2,0
3,0
4,1
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,4
24,1
25,0
26,4
27,2
28,4
29,0
30,2
31,1
32,4
33,1
34,1
35,4
36,1
37,3
38,0
39,2
40,2
41,1
42,3
43,0
44,0
45,1
46,0
47,0
48,1
49,4
50,4
51,1
52,3
53,4
54,2
55,1
56,4
57,1
58,2
59,4
60,2
61,4
62,1
63,0
64,3
65,2
66,4
67,0
68,4
69,1
70,2
71,0
72,3
73,0
74,1
75,0
76,1
77,2
78,1
79,1
80,1
81,0
82,2
83,0
84,0
85,4
86,2
87,4
88,0
89,1
90,2
91,4
92,2
93,3
94,2
95,2
96,1
97,4
98,1
99,1
100,1
101,2
102,3
103,1
104,4
105,1
106,1
107,4
108,2
109,1
110,2
111,1
112,2
113,3
114,4
115,3
116,0
117,1
118,2
119,0
120,2
121,2
122,0
123,0
124,0
125,1
126,1
127,3
128,1
129,0
130,2
131,0
132,0
133,0
134,0
135,2
136,0
137,1
138,1
139,4
140,2
141,1
142,1
143,4
144,1
145,2
146,0
147,0
148,2
149,1
150,4
151,2
152,2
153,0
154,4
155,4
156,2
157,0
158,1
159,0
160,4
161,0
162,4
163,1
164,0
165,0
166,4
167,4
168,2
169,0
170,2
171,1
172,3
173,0
174,0
175,0
176,1
177,2
178,2
179,0
180,2
181,1
182,2
183,0
184,2
185,4
186,0
187,1
188,2
189,2
190,3
191,0
192,0
193,1
194,1
195,0
196,3
197,0
198,2
199,0
200,1
201,0
202,1
203,2
204,3
205,4
206,0
207,1
208,2
209,0
210,0
211,0
212,1
213,3
214,0
215,1
216,1
217,4
218,4
219,4
220,0
221,4
222,1
223,0
224,4
225,0
226,0
227,0
228,3
229,0
230,1
231,4
232,0
233,4
234,1
235,0
236,0
237,4
238,1
239,0
240,4
241,0
242,3
243,4
244,0
245,1
246,4
247,2
248,2
249,0
250,3
251,4
252,4
253,2
254,1
255,2
256,0
257,2
258,2
259,4
260,1
261,1
262,4
263,0
264,3
265,1
266,0
267,0
268,0
269,0
270,2
271,0
272,3
273,0
274,4
275,1
276,1
277,3
278,1
279,1
280,0
281,1
282,1
283,3
284,0
285,0
286,1
287,4
288,3
289,3
290,1
291,3
292,0
293,3
294,1
295,4
296,1
297,4
298,1
299,0
300,0
301,0
302,3
303,0
304,4
305,1
306,4
307,0
308,0
309,3
310,3
311,0
312,0
313,0
314,3
315,4
316,0
317,1
318,0
319,0
320,0
321,4
322,0
323,0
324,1
325,3
326,1
327,0
328,4
329,0
330,4
331,0
332,3
333,2
334,4
335,1
336,2
337,0
338,0
339,1
340,1
341,0
342,0
343,0
344,2
345,1
346,3
347,2
348,1
349,2
350,3
351,3
352,1
353,4
354,1
355,0
356,2
357,0
358,2
359,3
360,3
361,0
362,3
363,1
364,1
365,0
366,4
367,4
368,1
369,3
370,0
371,0
372,1
373,1
374,3
375,2
376,4
377,0
378,3
379,0
380,2
381,3
382,1
383,0
384,1
385,0
386,2
387,2
388,2
389,4
390,4
391,2
392,1
393,4
394,1
395,1
396,3
397,2
398,0
399,2
400,4
401,0
402,2
403,2
404,1
405,4
406,1
407,2
408,0
409,3
410,0
411,0
412,3
413,2
414,1
415,2
416,1
417,0
418,0
419,0
420,1
421,1
422,1
423,0
424,2
425,4
426,2
427,0
428,3
429,0
430,1
431,2
432,2
433,0
434,0
435,0
436,4
437,1
438,1
439,0
440,1
441,2
442,0
443,2
444,0
445,2
446,0
447,0
448,0
449,1
450,4
451,3
452,4
453,0
454,0
455,4
456,0
457,0
458,0
459,0
460,2
461,0
462,2
463,1
464,0
465,0
466,0
467,2
468,0
469,0
470,0
471,0
472,4
473,0
474,2
475,0
476,1
477,0
478,4
479,0
480,0
481,3
482,2
483,4
484,3
485,2
486,1
487,1
488,1
489,0
490,2
491,0
492,2
493,0
494,3
495,1
496,2
497,2
498,1
499,0
500,3
501,0
502,4
503,4
504,2
505,0
506,0
507,0
508,2
509,2
510,1
511,0
512,4
513,2
514,0
515,0
516,2
517,1
518,4
519,4
520,1
521,0
522,1
523,3
524,0
525,4
526,1
527,0
528,0
529,1
530,3
531,1
532,0
533,0
