,sil_scores,n_cluster
0,0.00391144487266132,5
1,-0.049828520184117736,6
2,-0.04764098912957191,7
3,-0.04527347195120249,8
4,-0.043179925238477405,9
5,-0.04626449405651525,10
6,-0.045382036167679524,11
7,-0.04387903799617073,12
8,-0.04330334529827802,13
9,-0.04150791736985136,14
10,-0.04022755047179425,15
11,-0.03864259712091315,16
12,-0.04034336294014679,17
13,-0.039161336749683286,18
14,-0.0557923372333359,19
