,infuse_oa_lyr_2011,new_labels
353,E00000375,4
354,E00000376,2
355,E00000377,0
356,E00000378,3
357,E00000379,0
358,E00000380,3
359,E00000381,1
360,E00000382,1
361,E00000383,0
362,E00000384,1
363,E00000385,2
364,E00000386,2
365,E00000387,0
366,E00000388,4
367,E00000389,4
368,E00000390,2
369,E00000391,1
370,E00000392,0
371,E00000393,0
372,E00000394,2
373,E00000395,2
374,E00000396,1
375,E00000397,3
376,E00000398,4
377,E00000399,0
378,E00000400,1
379,E00000401,0
380,E00000402,3
381,E00000403,1
382,E00000404,2
383,E00000405,0
384,E00000406,2
385,E00000407,0
386,E00000408,3
387,E00000409,3
388,E00000411,3
389,E00000412,4
390,E00000413,4
391,E00000414,3
392,E00000415,2
393,E00000416,4
394,E00000417,2
395,E00000418,2
396,E00000419,1
397,E00000420,3
398,E00000421,0
399,E00000422,3
400,E00000423,4
401,E00000424,0
402,E00000425,3
403,E00000426,3
404,E00000427,2
405,E00000428,4
406,E00000429,2
407,E00000430,3
408,E00000431,0
409,E00000432,1
410,E00000433,0
411,E00000434,0
412,E00000435,1
413,E00000436,3
414,E00000437,2
415,E00000438,3
416,E00000439,2
417,E00000440,0
418,E00000441,0
419,E00000442,0
420,E00000443,2
421,E00000444,2
422,E00000445,2
423,E00000446,0
424,E00000447,3
425,E00000448,4
426,E00000449,3
427,E00000450,0
428,E00000451,1
429,E00000452,0
430,E00000453,2
431,E00000454,3
432,E00000455,3
433,E00000456,0
434,E00000457,0
435,E00000458,0
436,E00000460,4
437,E00000461,2
438,E00000462,2
439,E00000463,0
440,E00000464,2
441,E00000465,3
442,E00000466,0
443,E00000467,3
444,E00000468,0
445,E00000469,3
446,E00000470,0
447,E00000471,0
448,E00000472,0
449,E00000474,2
450,E00000475,4
451,E00000476,1
452,E00000477,4
453,E00000478,0
454,E00000479,0
455,E00000480,4
456,E00000481,0
457,E00000482,0
458,E00000483,0
459,E00000484,0
460,E00000485,3
461,E00000486,0
462,E00000487,3
463,E00000488,2
464,E00000489,0
465,E00000490,0
466,E00000491,0
467,E00000492,3
468,E00000493,0
469,E00000494,0
470,E00000495,0
471,E00000496,0
472,E00000497,4
473,E00000498,0
474,E00000499,3
475,E00000500,0
476,E00000501,2
477,E00000502,0
478,E00000503,4
479,E00000504,0
480,E00000505,0
481,E00000506,1
482,E00000507,3
483,E00000508,4
484,E00000509,1
485,E00000510,3
486,E00000511,2
487,E00000512,2
488,E00000513,2
489,E00000514,0
490,E00000515,3
491,E00000516,0
492,E00000517,3
493,E00000518,0
494,E00000519,1
495,E00000520,2
496,E00000521,3
497,E00000522,3
498,E00000523,2
499,E00000524,0
500,E00000525,1
501,E00000526,0
502,E00000527,4
503,E00000528,4
504,E00000529,3
505,E00000530,0
506,E00000531,0
507,E00000532,0
508,E00000533,3
509,E00000534,3
510,E00000535,2
511,E00000536,0
512,E00000537,4
513,E00000538,3
514,E00000539,0
515,E00000540,0
516,E00000541,3
517,E00000542,2
518,E00000543,4
519,E00000544,4
520,E00000545,2
521,E00000546,0
522,E00000547,2
523,E00000548,1
524,E00000549,0
525,E00000550,4
526,E00000551,2
527,E00000552,0
528,E00000553,0
529,E00000554,2
530,E00000555,1
531,E00000556,2
532,E00000557,0
533,E00000558,0
534,E00000559,2
535,E00000560,2
536,E00000561,4
537,E00000562,3
538,E00000563,3
539,E00000564,4
540,E00000565,0
541,E00000566,0
542,E00000567,4
543,E00000568,0
544,E00000569,1
545,E00000570,2
546,E00000571,4
547,E00000572,0
548,E00000573,4
549,E00000574,4
550,E00000575,2
551,E00000576,2
552,E00000577,2
553,E00000578,4
554,E00000579,3
555,E00000580,3
556,E00000581,4
557,E00000582,0
558,E00000583,0
559,E00000584,4
560,E00000585,3
561,E00000586,3
562,E00000587,2
563,E00000588,0
564,E00000589,2
565,E00000590,0
566,E00000591,3
567,E00000592,1
568,E00000593,3
569,E00000594,0
570,E00000595,1
571,E00000596,2
572,E00000597,0
573,E00000598,2
574,E00000600,4
575,E00000601,0
576,E00000602,0
577,E00000603,3
578,E00000604,3
579,E00000605,2
580,E00000606,2
581,E00000607,0
582,E00000608,2
583,E00000609,0
584,E00000610,1
585,E00000611,3
586,E00000612,2
587,E00000613,0
588,E00000614,2
589,E00000615,4
590,E00000616,3
591,E00000617,1
592,E00000618,1
593,E00000619,3
594,E00000620,2
595,E00000622,2
596,E00000623,1
597,E00000624,1
598,E00000625,0
599,E00000626,4
600,E00000627,3
601,E00000628,0
602,E00000629,3
603,E00000630,1
604,E00000631,0
605,E00000632,3
606,E00000633,3
607,E00000634,3
608,E00000635,0
609,E00000636,0
610,E00000637,4
611,E00000638,1
612,E00000640,4
613,E00000641,2
614,E00000642,2
615,E00000643,0
616,E00000644,0
617,E00000645,2
618,E00000646,1
619,E00000647,2
620,E00000648,2
621,E00000649,2
622,E00000650,2
623,E00000651,0
624,E00000652,3
625,E00000653,2
626,E00000654,0
627,E00000655,2
628,E00000656,2
629,E00000657,0
630,E00000658,2
631,E00000659,1
632,E00000660,4
633,E00000661,0
634,E00000662,4
635,E00000663,2
636,E00000664,0
637,E00000665,0
638,E00000666,2
639,E00000667,1
640,E00000668,0
641,E00000669,3
642,E00000670,0
643,E00000671,4
644,E00000672,4
645,E00000674,4
646,E00000675,4
647,E00000676,3
648,E00000677,0
649,E00000678,4
650,E00000679,0
651,E00000680,0
652,E00000681,0
653,E00000682,3
654,E00000683,2
655,E00000684,3
656,E00000685,0
657,E00000686,3
658,E00000687,1
659,E00000688,3
660,E00000689,2
661,E00000690,0
662,E00000691,2
663,E00000692,2
664,E00000693,0
665,E00000694,0
666,E00000695,0
667,E00000696,0
668,E00000697,0
669,E00000698,0
670,E00000699,0
671,E00000700,4
672,E00000701,0
673,E00000702,0
674,E00000703,1
675,E00000704,0
676,E00000705,1
677,E00000706,3
678,E00000707,1
679,E00000708,0
680,E00000709,2
681,E00000710,0
682,E00000711,0
683,E00000712,0
684,E00000713,0
685,E00000714,3
686,E00000715,4
687,E00000716,2
688,E00000717,4
689,E00000718,3
690,E00000719,3
691,E00000720,0
692,E00000721,0
693,E00000722,4
694,E00000723,0
695,E00000724,0
696,E00000725,3
697,E00000726,0
698,E00000727,4
699,E00000728,0
700,E00000729,0
701,E00000730,2
702,E00000731,0
703,E00000732,3
704,E00000733,0
705,E00000734,0
706,E00000736,0
707,E00000737,2
708,E00000738,3
709,E00000739,3
710,E00000740,2
711,E00000742,2
712,E00000743,2
713,E00000744,2
714,E00000745,2
715,E00000746,4
716,E00000747,1
717,E00000748,0
718,E00000749,0
719,E00000751,4
720,E00000752,0
721,E00000754,4
722,E00000755,4
723,E00000756,3
724,E00000757,4
725,E00000758,4
726,E00000760,0
727,E00000761,0
728,E00000762,0
729,E00000763,3
730,E00000764,0
731,E00000765,2
732,E00000766,0
733,E00000767,3
734,E00000768,4
735,E00000769,0
736,E00000770,1
737,E00000771,3
738,E00000772,0
739,E00000773,4
740,E00000774,3
741,E00000775,0
742,E00000776,0
743,E00000777,2
744,E00000778,0
745,E00000779,0
746,E00000780,3
747,E00000781,2
748,E00000782,0
749,E00000783,3
750,E00000785,4
751,E00000786,2
752,E00000787,1
753,E00000788,3
754,E00000789,0
755,E00000790,4
756,E00000791,2
757,E00000792,0
758,E00000793,4
759,E00000794,2
760,E00000795,0
761,E00000796,3
762,E00000797,2
763,E00000798,2
764,E00000799,3
765,E00000800,3
766,E00000801,3
767,E00000802,0
768,E00000803,4
769,E00000804,0
770,E00000805,4
771,E00000806,3
772,E00000807,3
773,E00000808,3
774,E00000809,3
775,E00000810,2
776,E00000811,3
777,E00000812,1
778,E00000813,3
779,E00000814,4
780,E00000815,4
781,E00000816,0
782,E00000817,0
783,E00000818,0
784,E00000819,3
785,E00000820,3
786,E00000821,3
787,E00000822,3
788,E00000823,2
789,E00000824,3
790,E00000825,0
791,E00000827,1
792,E00000828,3
793,E00000829,0
794,E00000830,0
795,E00000831,4
796,E00000832,0
797,E00000833,2
798,E00000834,3
799,E00000835,1
800,E00000836,3
801,E00000837,2
802,E00000838,0
803,E00000839,3
804,E00000840,0
805,E00000841,2
806,E00000842,4
807,E00000843,0
808,E00000844,4
809,E00000845,2
810,E00000846,2
811,E00000847,0
812,E00000848,0
813,E00000849,3
814,E00000850,2
815,E00000851,0
816,E00000852,4
817,E00000853,0
818,E00000854,0
819,E00000855,2
820,E00000856,1
821,E00000857,0
822,E00000858,1
823,E00000859,0
824,E00000860,3
825,E00000861,1
826,E00000862,0
