,infuse_oa_lyr_2011,new_labels
0,E00000001,3
1,E00000003,1
2,E00000005,4
3,E00000007,0
4,E00000010,0
5,E00000012,4
6,E00000013,3
7,E00000014,5
8,E00000016,1
9,E00000017,0
10,E00000018,3
11,E00000019,0
12,E00000020,1
13,E00000021,0
14,E00000022,1
15,E00000023,5
16,E00000024,0
17,E00000025,0
18,E00000026,0
19,E00000027,0
20,E00000028,0
21,E00000029,0
22,E00000030,0
23,E00000031,0
24,E00000032,1
25,E00000035,0
26,E00000037,3
27,E00000038,5
28,E00000039,1
29,E00000040,3
30,E00000041,4
31,E00000042,4
32,E00000043,2
33,E00000045,4
34,E00000046,3
35,E00000048,4
36,E00000049,1
37,E00000050,2
38,E00000051,0
39,E00000052,3
40,E00000053,0
41,E00000054,4
42,E00000055,0
43,E00000056,0
44,E00000057,4
45,E00000059,0
46,E00000060,3
47,E00000061,0
48,E00000062,0
49,E00000063,4
50,E00000064,0
51,E00000065,3
52,E00000066,4
53,E00000067,4
54,E00000068,4
55,E00000069,0
56,E00000070,1
57,E00000071,1
58,E00000072,5
59,E00000073,3
60,E00000074,0
61,E00000075,0
62,E00000076,3
63,E00000077,4
64,E00000078,0
65,E00000079,4
66,E00000080,0
67,E00000081,0
68,E00000082,5
69,E00000083,0
70,E00000084,4
71,E00000085,3
72,E00000086,2
73,E00000087,4
74,E00000088,4
75,E00000090,4
76,E00000091,4
77,E00000092,2
78,E00000093,0
79,E00000094,2
80,E00000095,4
81,E00000096,0
82,E00000097,3
83,E00000098,4
84,E00000099,4
85,E00000100,0
86,E00000101,1
87,E00000102,2
88,E00000103,1
89,E00000104,4
90,E00000106,3
91,E00000107,5
92,E00000108,4
93,E00000109,1
94,E00000110,4
95,E00000111,5
96,E00000112,4
97,E00000113,5
98,E00000114,4
99,E00000115,4
100,E00000116,4
101,E00000117,1
102,E00000118,3
103,E00000119,1
104,E00000120,0
105,E00000121,3
106,E00000122,5
107,E00000123,5
108,E00000124,1
109,E00000125,0
110,E00000126,3
111,E00000127,0
112,E00000128,2
113,E00000129,0
114,E00000130,4
115,E00000131,5
116,E00000132,1
117,E00000133,3
118,E00000134,1
119,E00000135,0
120,E00000136,0
121,E00000137,4
122,E00000138,0
123,E00000139,0
124,E00000140,5
125,E00000141,4
126,E00000142,2
127,E00000143,0
128,E00000144,4
129,E00000145,0
130,E00000146,1
131,E00000147,0
132,E00000148,0
133,E00000149,4
134,E00000150,0
135,E00000151,3
136,E00000152,0
137,E00000153,1
138,E00000154,3
139,E00000155,4
140,E00000156,4
141,E00000157,4
142,E00000158,3
143,E00000159,0
144,E00000160,4
145,E00000161,1
146,E00000162,4
147,E00000163,3
148,E00000164,4
149,E00000165,2
150,E00000166,2
151,E00000167,4
152,E00000168,3
153,E00000169,3
154,E00000170,4
155,E00000171,4
156,E00000172,4
157,E00000173,4
158,E00000174,0
159,E00000175,0
160,E00000176,2
161,E00000177,4
162,E00000178,4
163,E00000179,1
164,E00000180,0
165,E00000181,0
166,E00000182,1
167,E00000183,0
168,E00000184,4
169,E00000185,3
170,E00000186,4
171,E00000187,4
172,E00000188,3
173,E00000189,0
174,E00000190,0
175,E00000191,0
176,E00000192,3
177,E00000193,0
178,E00000194,4
179,E00000195,0
180,E00000196,5
181,E00000197,5
182,E00000198,3
183,E00000199,4
184,E00000200,1
185,E00000201,0
186,E00000202,3
187,E00000203,1
188,E00000204,5
189,E00000205,1
190,E00000206,3
191,E00000207,3
192,E00000208,1
193,E00000209,4
194,E00000210,3
195,E00000211,5
196,E00000212,3
197,E00000213,3
198,E00000214,0
199,E00000215,4
200,E00000216,4
201,E00000217,0
202,E00000218,0
203,E00000219,3
204,E00000220,4
205,E00000221,3
206,E00000222,4
207,E00000223,4
208,E00000224,0
209,E00000225,0
210,E00000226,0
211,E00000227,4
212,E00000228,3
213,E00000229,3
214,E00000230,3
215,E00000231,0
216,E00000232,0
217,E00000234,0
218,E00000235,4
219,E00000236,1
220,E00000237,5
221,E00000238,1
222,E00000239,5
223,E00000240,0
224,E00000241,1
225,E00000242,1
226,E00000243,0
227,E00000244,0
228,E00000245,3
229,E00000246,0
230,E00000247,0
231,E00000248,4
232,E00000249,0
233,E00000250,3
234,E00000251,4
235,E00000252,4
236,E00000253,4
237,E00000255,3
238,E00000257,5
239,E00000258,0
240,E00000259,5
241,E00000260,4
242,E00000261,2
243,E00000263,3
244,E00000264,4
245,E00000265,3
246,E00000266,4
247,E00000267,4
248,E00000268,2
249,E00000269,0
250,E00000270,4
251,E00000271,3
252,E00000272,3
253,E00000273,0
254,E00000274,5
255,E00000275,1
256,E00000276,1
257,E00000277,3
258,E00000278,0
259,E00000279,1
260,E00000280,1
261,E00000282,1
262,E00000283,3
263,E00000284,4
264,E00000285,5
265,E00000286,1
266,E00000287,0
267,E00000288,3
268,E00000289,0
269,E00000290,0
270,E00000291,4
271,E00000292,2
272,E00000293,3
273,E00000294,5
274,E00000295,5
275,E00000296,4
276,E00000297,4
277,E00000298,2
278,E00000299,4
279,E00000300,3
280,E00000301,4
281,E00000302,3
282,E00000303,1
283,E00000304,3
284,E00000305,4
285,E00000306,3
286,E00000307,0
287,E00000308,4
288,E00000309,0
289,E00000310,5
290,E00000311,0
291,E00000312,0
292,E00000313,3
293,E00000314,3
294,E00000315,4
295,E00000316,4
296,E00000317,5
297,E00000318,5
298,E00000319,3
299,E00000320,3
300,E00000321,4
301,E00000322,0
302,E00000323,0
303,E00000324,4
304,E00000325,4
305,E00000326,3
306,E00000327,4
307,E00000328,0
308,E00000329,0
309,E00000330,2
310,E00000331,4
311,E00000332,0
312,E00000333,4
313,E00000334,4
314,E00000335,4
315,E00000336,4
316,E00000337,0
317,E00000338,4
318,E00000339,3
319,E00000340,4
320,E00000341,4
321,E00000342,4
322,E00000343,3
323,E00000344,4
324,E00000345,3
325,E00000346,3
326,E00000347,3
327,E00000348,1
328,E00000349,4
329,E00000350,4
330,E00000351,4
331,E00000352,0
332,E00000353,3
333,E00000354,4
334,E00000355,5
335,E00000356,3
336,E00000357,4
337,E00000358,0
338,E00000360,4
339,E00000361,5
340,E00000362,4
341,E00000363,4
342,E00000364,0
343,E00000365,5
344,E00000366,4
345,E00000367,0
346,E00000368,1
347,E00000369,0
348,E00000370,3
349,E00000371,0
350,E00000372,4
351,E00000373,4
352,E00000374,2
353,E00000375,2
354,E00000376,0
355,E00000377,1
356,E00000378,2
357,E00000379,1
358,E00000380,5
359,E00000381,0
360,E00000382,0
361,E00000383,4
362,E00000384,4
363,E00000385,4
364,E00000386,4
365,E00000387,0
366,E00000388,1
367,E00000389,4
368,E00000390,3
369,E00000391,1
370,E00000392,3
371,E00000393,5
372,E00000394,2
373,E00000395,0
374,E00000396,0
375,E00000397,4
376,E00000398,4
377,E00000399,4
378,E00000400,0
379,E00000401,4
380,E00000402,4
381,E00000403,1
382,E00000404,5
383,E00000405,5
384,E00000406,0
385,E00000407,4
386,E00000408,4
387,E00000409,2
388,E00000411,4
389,E00000412,4
390,E00000413,4
391,E00000414,3
392,E00000415,3
393,E00000416,2
394,E00000417,0
395,E00000418,0
396,E00000419,0
397,E00000420,5
398,E00000421,4
399,E00000422,3
400,E00000423,5
401,E00000424,0
402,E00000425,4
403,E00000426,3
404,E00000427,2
405,E00000428,1
406,E00000429,3
407,E00000430,2
408,E00000431,4
409,E00000432,0
410,E00000433,3
411,E00000434,0
412,E00000435,1
413,E00000436,3
414,E00000437,1
415,E00000438,2
416,E00000439,4
417,E00000440,0
418,E00000441,4
419,E00000442,4
420,E00000443,4
421,E00000444,4
422,E00000445,1
423,E00000446,0
424,E00000447,2
425,E00000448,3
426,E00000449,4
427,E00000450,4
428,E00000451,3
429,E00000452,0
430,E00000453,4
431,E00000454,2
432,E00000455,0
433,E00000456,3
434,E00000457,0
435,E00000458,0
436,E00000460,4
437,E00000461,0
438,E00000462,0
439,E00000463,0
440,E00000464,0
441,E00000465,0
442,E00000466,1
443,E00000467,1
444,E00000468,2
445,E00000469,4
446,E00000470,0
447,E00000471,0
448,E00000472,0
449,E00000474,4
450,E00000475,1
451,E00000476,4
452,E00000477,5
453,E00000478,0
454,E00000479,5
455,E00000480,0
456,E00000481,4
457,E00000482,0
458,E00000483,1
459,E00000484,0
460,E00000485,4
461,E00000486,4
462,E00000487,0
463,E00000488,1
464,E00000489,0
465,E00000490,0
466,E00000491,0
467,E00000492,4
468,E00000493,5
469,E00000494,0
470,E00000495,4
471,E00000496,1
472,E00000497,3
473,E00000498,0
474,E00000499,4
475,E00000500,2
476,E00000501,3
477,E00000502,0
478,E00000503,4
479,E00000504,2
480,E00000505,4
481,E00000506,4
482,E00000507,3
483,E00000508,4
484,E00000509,4
485,E00000510,5
486,E00000511,4
487,E00000512,3
488,E00000513,3
489,E00000514,3
490,E00000515,1
491,E00000516,3
492,E00000517,5
493,E00000518,4
494,E00000519,2
495,E00000520,4
496,E00000521,1
497,E00000522,3
498,E00000523,1
499,E00000524,4
500,E00000525,4
501,E00000526,2
502,E00000527,2
503,E00000528,4
504,E00000529,4
505,E00000530,3
506,E00000531,2
