,sil_scores,n_cluster
0,0.004593890692819616,5
1,-0.006907704922371612,6
2,-0.006043805895337393,7
3,-0.00672254283738707,8
4,-0.005665778467558127,9
5,-0.02714217037373719,10
6,-0.025894397898235062,11
7,-0.02770040097269264,12
8,-0.02847571229354986,13
9,-0.02871043130493949,14
10,-0.0279112703797334,15
11,-0.02765065917149934,16
12,-0.02687029266323132,17
13,-0.026278724446220515,18
14,-0.032594778209632906,19
