,labels
0,0
1,1
2,1
3,1
4,1
5,0
6,0
7,4
8,1
9,1
10,1
11,1
12,1
13,1
14,0
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,4
24,4
25,1
26,2
27,4
28,0
29,1
30,2
31,2
32,0
33,1
34,1
35,4
36,2
37,0
38,2
39,2
40,0
41,0
42,2
43,1
44,0
45,1
46,4
47,1
48,1
49,1
50,0
51,0
52,0
53,1
54,0
55,1
56,2
57,0
58,2
59,1
60,0
61,1
62,1
63,4
64,4
65,4
66,0
67,1
68,0
69,2
70,4
71,1
72,4
73,4
74,1
75,1
76,0
77,0
78,1
79,0
80,0
81,1
82,0
83,1
84,2
85,2
86,0
87,4
88,0
89,1
90,2
91,3
92,0
93,3
94,0
95,1
96,0
97,0
98,1
99,1
100,4
101,0
102,2
103,4
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,2
112,0
113,0
114,1
115,0
116,0
117,0
118,1
119,1
120,0
121,1
122,0
123,2
124,1
125,0
126,0
127,4
128,0
129,0
130,0
131,4
132,4
133,1
134,1
135,1
136,1
137,0
138,2
139,0
140,0
141,2
142,1
143,0
144,1
145,1
146,1
147,4
148,0
149,1
150,0
151,4
152,2
153,0
154,1
155,1
156,0
157,1
158,1
159,1
160,0
161,1
162,0
163,0
164,1
165,1
166,0
167,1
168,2
169,2
170,0
171,0
172,1
173,1
174,1
175,4
176,1
177,0
178,2
179,1
180,1
181,3
182,2
183,0
184,4
185,0
186,4
187,1
188,0
189,1
190,2
191,4
192,2
193,1
194,0
195,1
196,2
197,1
198,4
199,1
200,0
201,4
202,4
203,1
204,0
205,1
206,2
207,1
208,1
209,1
210,1
211,0
212,1
213,0
214,1
215,0
216,0
217,4
218,0
219,1
220,0
221,0
222,2
223,0
224,0
225,1
226,1
227,1
228,1
229,1
230,0
231,0
232,1
233,0
234,1
235,0
236,2
237,1
238,2
239,2
240,1
241,1
242,4
243,2
244,1
245,4
246,4
247,1
248,1
249,0
250,1
251,0
252,0
253,1
254,1
255,3
256,1
257,0
258,4
259,2
260,0
261,3
262,3
263,0
264,0
265,4
266,0
267,0
268,1
269,0
270,0
271,4
272,1
273,1
274,0
275,1
276,0
277,0
278,1
279,1
280,1
281,1
282,2
283,2
284,1
285,1
286,0
287,0
288,4
289,1
290,0
291,0
292,0
293,0
294,2
295,0
296,1
297,0
298,0
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,0
308,0
309,2
310,2
311,0
312,0
313,0
314,0
315,1
316,1
317,1
318,1
319,4
320,1
321,0
322,4
323,1
324,0
325,4
326,1
327,4
328,2
329,1
330,1
331,1
332,0
333,4
334,0
335,0
336,1
337,1
338,0
339,2
340,0
341,0
342,1
343,1
344,1
345,0
346,0
347,1
348,1
349,4
350,0
351,0
352,0
353,4
354,4
355,1
356,2
357,1
358,1
359,0
360,0
361,1
362,1
363,0
364,0
365,1
366,4
367,1
368,1
369,4
370,1
371,4
372,0
373,1
374,1
375,1
376,0
377,0
378,4
379,1
380,1
381,0
382,1
383,0
384,2
385,1
386,1
387,1
388,4
389,1
390,1
391,0
392,4
393,4
394,1
395,2
396,0
397,0
398,1
399,1
400,1
401,1
402,2
403,0
404,0
405,4
406,4
407,1
408,1
409,2
410,0
411,1
412,0
413,4
414,4
415,4
416,1
417,1
418,0
419,1
420,0
421,1
422,1
423,0
424,2
425,1
426,4
427,1
428,1
429,1
430,1
431,2
432,1
433,1
434,1
435,1
436,0
437,0
438,4
439,1
440,1
441,1
442,0
443,4
444,2
445,4
446,1
447,0
448,1
449,1
450,1
451,1
452,1
453,1
454,0
455,0
456,0
457,1
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,0
466,4
467,0
468,0
469,1
470,4
471,1
472,1
473,1
474,0
475,0
476,2
477,1
478,2
479,4
480,1
481,0
482,1
483,1
484,4
485,1
486,1
487,4
488,0
489,4
490,0
491,1
492,4
493,0
494,0
495,1
496,4
497,1
498,2
499,0
500,2
501,1
502,0
503,0
504,0
505,1
506,0
507,0
508,1
509,1
510,4
511,1
512,1
513,3
514,4
515,0
516,1
517,0
518,0
519,0
520,1
521,1
522,3
523,4
524,1
525,0
526,2
527,1
528,0
529,0
530,0
531,1
532,4
533,1
534,1
535,1
536,2
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,1
545,1
546,4
547,1
548,1
549,0
550,1
551,4
552,1
553,1
554,0
555,1
556,1
557,1
558,0
559,0
560,2
561,1
562,2
563,0
564,0
565,1
566,0
567,2
568,4
569,2
570,3
571,0
572,0
573,3
574,0
575,0
576,1
577,0
578,3
579,4
580,0
581,1
582,2
583,1
584,1
585,4
586,0
587,1
588,4
589,1
590,1
591,0
592,2
593,1
594,3
595,4
596,0
597,4
598,1
599,4
600,1
601,0
602,2
603,0
604,0
605,0
606,4
607,0
608,1
609,1
610,4
611,0
612,4
613,0
614,3
615,1
616,1
617,2
618,0
619,0
620,0
621,1
622,0
623,2
624,1
625,0
626,1
627,4
628,1
629,1
630,1
631,1
632,0
633,1
634,1
635,1
636,1
637,4
638,1
639,4
640,1
641,0
642,0
643,0
644,1
645,1
646,1
647,0
648,1
649,1
650,1
651,4
652,1
653,0
654,1
655,1
656,1
657,2
658,0
659,2
660,2
661,0
662,1
663,1
664,1
665,0
666,1
667,0
668,1
669,0
670,1
671,0
672,0
673,1
674,3
675,1
676,3
677,4
678,3
679,1
680,0
681,1
682,1
683,0
684,1
685,4
686,4
687,1
688,2
689,4
690,0
691,0
692,0
693,0
694,1
695,1
696,1
697,0
698,0
699,0
700,1
701,4
702,1
703,0
704,0
705,4
706,1
707,0
708,0
709,2
710,2
711,0
712,0
713,0
714,1
715,0
716,4
717,1
718,1
719,2
720,1
721,4
722,4
723,0
724,0
725,3
726,0
727,1
728,1
729,4
730,1
731,4
732,1
733,4
734,0
735,1
736,1
737,0
738,0
739,2
740,4
741,0
742,1
743,0
744,1
745,0
746,0
747,4
748,1
749,4
750,1
751,0
752,0
753,0
754,0
755,1
756,1
757,0
758,0
759,1
760,1
761,0
762,4
763,4
764,1
765,2
766,0
767,4
768,2
769,4
770,0
771,0
772,1
773,4
774,4
775,0
776,0
777,4
778,0
779,0
780,0
781,1
782,1
783,1
784,4
785,0
786,0
787,0
788,1
789,4
790,1
791,3
792,0
793,0
794,1
795,1
796,0
797,0
798,4
799,4
800,1
801,4
802,1
803,0
804,1
805,2
806,4
807,1
808,1
809,4
810,4
811,1
812,1
813,1
814,3
815,1
816,0
817,4
818,1
819,0
820,2
821,0
822,2
823,0
824,0
825,3
826,1
827,0
828,1
829,1
830,0
831,1
832,0
833,1
834,1
835,0
836,0
837,1
838,1
839,4
840,4
841,3
842,4
843,1
844,2
845,1
846,0
847,1
848,0
849,0
850,1
851,0
852,0
853,0
854,0
855,1
856,0
857,4
858,1
859,1
860,0
861,0
862,0
863,0
864,1
865,0
866,0
867,0
868,0
869,2
870,1
871,4
872,1
873,0
874,4
875,4
876,4
877,4
878,0
879,4
880,1
881,0
882,1
883,4
884,1
885,1
886,0
887,3
888,1
889,0
890,0
891,0
892,0
893,0
894,0
895,1
896,1
897,1
898,0
899,1
900,1
901,4
902,0
903,1
904,4
905,1
906,0
907,1
908,1
909,0
910,1
911,1
912,4
913,4
914,0
915,3
916,1
917,1
918,1
919,1
920,4
921,1
922,0
923,0
924,0
925,4
926,0
927,4
928,1
929,1
930,2
931,1
932,4
933,1
934,1
935,0
936,0
937,0
938,0
939,0
940,1
941,0
942,0
943,1
944,0
945,1
946,0
947,4
948,1
949,2
950,1
951,0
952,1
953,4
954,0
955,1
956,1
957,1
958,2
959,4
960,0
961,1
962,0
963,1
964,1
965,1
966,0
967,1
968,1
969,2
970,0
971,1
972,0
973,0
974,2
975,3
976,3
977,1
978,3
979,1
980,0
981,0
982,1
983,1
984,0
985,1
986,0
987,1
988,0
989,0
990,4
991,1
992,1
993,0
994,0
995,1
996,2
997,3
998,0
999,1
1000,0
1001,4
1002,4
1003,1
1004,4
1005,1
1006,1
1007,0
1008,0
1009,0
1010,0
1011,1
1012,0
1013,0
1014,3
1015,2
1016,1
1017,1
1018,0
1019,1
1020,1
1021,1
1022,1
1023,1
1024,0
1025,1
1026,1
1027,1
1028,1
1029,1
1030,0
1031,0
1032,2
1033,0
1034,1
1035,1
1036,1
1037,4
1038,1
1039,1
1040,4
1041,2
1042,1
1043,0
1044,2
1045,2
1046,1
1047,2
1048,0
1049,1
1050,0
1051,1
1052,0
1053,1
1054,0
1055,1
1056,1
1057,1
1058,0
1059,2
1060,0
