,infuse_oa_lyr_2011,new_labels
0,E00000001,3
1,E00000003,0
2,E00000005,0
3,E00000007,0
4,E00000010,0
5,E00000012,0
6,E00000013,0
7,E00000014,0
8,E00000016,0
9,E00000017,0
10,E00000018,0
11,E00000019,0
12,E00000020,0
13,E00000021,0
14,E00000022,1
15,E00000023,3
16,E00000024,0
17,E00000025,0
18,E00000026,0
19,E00000027,0
20,E00000028,0
21,E00000029,0
22,E00000030,0
23,E00000031,0
24,E00000032,0
25,E00000035,0
26,E00000037,2
27,E00000038,2
28,E00000039,0
29,E00000040,0
30,E00000041,3
31,E00000042,2
32,E00000043,3
33,E00000045,4
34,E00000046,3
35,E00000048,3
36,E00000049,1
37,E00000050,2
38,E00000051,3
39,E00000052,3
40,E00000053,3
41,E00000054,0
42,E00000055,4
43,E00000056,1
44,E00000057,2
45,E00000059,0
46,E00000060,3
47,E00000061,3
48,E00000062,0
49,E00000063,1
50,E00000064,2
51,E00000065,3
52,E00000066,1
53,E00000067,3
54,E00000068,3
55,E00000069,3
56,E00000070,4
57,E00000071,3
58,E00000072,1
59,E00000073,3
60,E00000074,2
61,E00000075,2
62,E00000076,4
63,E00000077,2
64,E00000078,4
65,E00000079,1
66,E00000080,1
67,E00000081,3
68,E00000082,2
69,E00000083,3
70,E00000084,2
71,E00000085,3
72,E00000086,3
73,E00000087,3
74,E00000088,3
75,E00000090,1
76,E00000091,1
77,E00000092,4
78,E00000093,1
79,E00000094,3
80,E00000095,0
81,E00000096,0
82,E00000097,2
83,E00000098,1
84,E00000099,2
85,E00000100,3
86,E00000101,3
87,E00000102,2
88,E00000103,2
89,E00000104,2
90,E00000106,2
91,E00000107,3
92,E00000108,1
93,E00000109,4
94,E00000110,1
95,E00000111,3
96,E00000112,4
97,E00000113,3
98,E00000114,2
99,E00000115,1
100,E00000116,2
101,E00000117,4
102,E00000118,1
103,E00000119,1
104,E00000120,3
105,E00000121,1
106,E00000122,3
107,E00000123,4
108,E00000124,5
109,E00000125,1
110,E00000126,1
111,E00000127,1
112,E00000128,4
113,E00000129,4
114,E00000130,1
115,E00000131,4
116,E00000132,2
117,E00000133,2
118,E00000134,3
119,E00000135,1
120,E00000136,3
121,E00000137,1
122,E00000138,5
123,E00000139,4
124,E00000140,4
125,E00000141,2
126,E00000142,1
127,E00000143,4
128,E00000144,1
129,E00000145,1
130,E00000146,2
131,E00000147,2
132,E00000148,4
133,E00000149,4
134,E00000150,2
135,E00000151,1
136,E00000152,1
137,E00000153,3
138,E00000154,2
139,E00000155,3
140,E00000156,2
141,E00000157,4
142,E00000158,2
143,E00000159,3
144,E00000160,1
145,E00000161,4
146,E00000162,5
147,E00000163,4
148,E00000164,4
149,E00000165,4
150,E00000166,2
151,E00000167,5
152,E00000168,3
153,E00000169,3
154,E00000170,4
155,E00000171,5
156,E00000172,3
157,E00000173,1
158,E00000174,2
159,E00000175,1
160,E00000176,2
161,E00000177,1
162,E00000178,3
163,E00000179,1
164,E00000180,1
165,E00000181,1
166,E00000182,5
167,E00000183,1
168,E00000184,3
169,E00000185,3
170,E00000186,1
171,E00000187,4
172,E00000188,5
173,E00000189,1
174,E00000190,1
175,E00000191,3
176,E00000192,4
177,E00000193,5
178,E00000194,4
179,E00000195,1
180,E00000196,2
181,E00000197,2
182,E00000198,2
183,E00000199,0
184,E00000200,5
185,E00000201,3
186,E00000202,3
187,E00000203,3
188,E00000204,3
189,E00000205,3
190,E00000206,2
191,E00000207,1
192,E00000208,1
193,E00000209,5
194,E00000210,4
195,E00000211,3
196,E00000212,1
197,E00000213,0
198,E00000214,2
199,E00000215,4
200,E00000216,1
201,E00000217,4
202,E00000218,2
203,E00000219,1
204,E00000220,3
205,E00000221,4
206,E00000222,3
207,E00000223,1
208,E00000224,1
209,E00000225,2
210,E00000226,1
211,E00000227,3
212,E00000228,3
213,E00000229,3
214,E00000230,3
215,E00000231,3
216,E00000232,1
217,E00000234,2
218,E00000235,3
219,E00000236,5
220,E00000237,3
221,E00000238,3
222,E00000239,4
223,E00000240,4
224,E00000241,2
225,E00000242,3
226,E00000243,1
227,E00000244,2
228,E00000245,3
229,E00000246,1
230,E00000247,3
231,E00000248,1
232,E00000249,3
233,E00000250,1
234,E00000251,1
235,E00000252,2
236,E00000253,4
237,E00000255,1
238,E00000257,2
239,E00000258,4
240,E00000259,3
241,E00000260,3
242,E00000261,2
243,E00000263,3
244,E00000264,5
245,E00000265,2
246,E00000266,3
247,E00000267,1
248,E00000268,4
249,E00000269,3
250,E00000270,5
251,E00000271,5
252,E00000272,1
253,E00000273,3
254,E00000274,3
255,E00000275,3
256,E00000276,1
257,E00000277,4
258,E00000278,1
259,E00000279,1
260,E00000280,4
261,E00000282,2
262,E00000283,1
263,E00000284,3
264,E00000285,1
265,E00000286,4
266,E00000287,1
267,E00000288,1
268,E00000289,4
269,E00000290,4
270,E00000291,2
271,E00000292,2
272,E00000293,2
273,E00000294,4
274,E00000295,2
275,E00000296,1
276,E00000297,5
277,E00000298,2
278,E00000299,4
279,E00000300,1
280,E00000301,1
281,E00000302,3
282,E00000303,4
283,E00000304,3
284,E00000305,1
285,E00000306,1
286,E00000307,3
287,E00000308,2
288,E00000309,1
289,E00000310,5
290,E00000311,0
291,E00000312,4
292,E00000313,1
293,E00000314,1
294,E00000315,3
295,E00000316,5
296,E00000317,4
297,E00000318,5
298,E00000319,4
299,E00000320,1
300,E00000321,5
301,E00000322,1
302,E00000323,5
303,E00000324,2
304,E00000325,1
305,E00000326,1
306,E00000327,2
307,E00000328,1
308,E00000329,2
309,E00000330,4
310,E00000331,2
311,E00000332,3
312,E00000333,4
313,E00000334,2
314,E00000335,3
315,E00000336,1
316,E00000337,1
317,E00000338,1
318,E00000339,5
319,E00000340,2
320,E00000341,1
321,E00000342,1
322,E00000343,2
323,E00000344,1
324,E00000345,4
325,E00000346,2
326,E00000347,1
327,E00000348,0
328,E00000349,4
329,E00000350,5
330,E00000351,5
331,E00000352,1
332,E00000353,3
333,E00000354,3
334,E00000355,4
335,E00000356,1
336,E00000357,2
337,E00000358,1
338,E00000360,5
339,E00000361,1
340,E00000362,4
341,E00000363,1
342,E00000364,1
343,E00000365,1
344,E00000366,2
345,E00000367,3
346,E00000368,2
347,E00000369,1
348,E00000370,2
349,E00000371,5
350,E00000372,4
351,E00000373,2
352,E00000374,2
353,E00000375,3
354,E00000376,2
355,E00000377,3
356,E00000378,2
357,E00000379,3
358,E00000380,4
359,E00000381,1
360,E00000382,4
361,E00000383,5
362,E00000384,4
363,E00000385,3
364,E00000386,2
365,E00000387,0
366,E00000388,3
367,E00000389,5
368,E00000390,4
369,E00000391,1
370,E00000392,1
371,E00000393,4
372,E00000394,2
373,E00000395,1
374,E00000396,5
375,E00000397,3
376,E00000398,2
377,E00000399,3
378,E00000400,3
379,E00000401,1
380,E00000402,1
381,E00000403,2
382,E00000404,5
383,E00000405,4
384,E00000406,1
385,E00000407,3
386,E00000408,5
387,E00000409,4
388,E00000411,3
389,E00000412,3
390,E00000413,1
391,E00000414,1
392,E00000415,3
393,E00000416,4
394,E00000417,1
395,E00000418,4
396,E00000419,2
397,E00000420,4
398,E00000421,5
399,E00000422,1
400,E00000423,2
401,E00000424,1
402,E00000425,2
403,E00000426,1
404,E00000427,2
405,E00000428,3
406,E00000429,4
407,E00000430,2
408,E00000431,1
409,E00000432,4
410,E00000433,4
411,E00000434,1
412,E00000435,4
413,E00000436,1
414,E00000437,1
415,E00000438,3
416,E00000439,5
417,E00000440,1
418,E00000441,3
419,E00000442,1
420,E00000443,4
421,E00000444,3
422,E00000445,4
423,E00000446,1
424,E00000447,5
425,E00000448,1
426,E00000449,3
427,E00000450,1
428,E00000451,1
429,E00000452,1
430,E00000453,1
431,E00000454,3
432,E00000455,0
433,E00000456,3
434,E00000457,5
435,E00000458,1
436,E00000460,2
437,E00000461,3
438,E00000462,1
439,E00000463,1
440,E00000464,1
441,E00000465,4
442,E00000466,4
443,E00000467,4
444,E00000468,3
445,E00000469,0
446,E00000470,1
447,E00000471,0
448,E00000472,1
449,E00000474,1
450,E00000475,3
451,E00000476,5
452,E00000477,4
453,E00000478,2
454,E00000479,5
455,E00000480,5
456,E00000481,1
457,E00000482,5
458,E00000483,4
459,E00000484,4
460,E00000485,3
461,E00000486,1
462,E00000487,1
463,E00000488,3
464,E00000489,4
465,E00000490,3
466,E00000491,2
467,E00000492,1
468,E00000493,2
469,E00000494,1
470,E00000495,2
471,E00000496,3
472,E00000497,4
473,E00000498,4
474,E00000499,1
475,E00000500,4
476,E00000501,1
477,E00000502,4
478,E00000503,0
479,E00000504,3
480,E00000505,1
481,E00000506,4
482,E00000507,4
483,E00000508,4
484,E00000509,3
485,E00000510,3
486,E00000511,1
487,E00000512,2
488,E00000513,3
489,E00000514,4
490,E00000515,3
491,E00000516,1
492,E00000517,3
493,E00000518,1
494,E00000519,3
495,E00000520,1
496,E00000521,1
497,E00000522,3
498,E00000523,4
499,E00000524,4
500,E00000525,2
501,E00000526,2
502,E00000527,3
503,E00000528,4
504,E00000529,5
505,E00000530,3
506,E00000531,4
507,E00000532,3
508,E00000533,5
509,E00000534,5
510,E00000535,1
511,E00000536,3
512,E00000537,3
513,E00000538,3
514,E00000539,1
515,E00000540,3
516,E00000541,3
517,E00000542,4
518,E00000543,1
519,E00000544,2
520,E00000545,3
521,E00000546,1
522,E00000547,4
523,E00000548,1
524,E00000549,1
525,E00000550,1
526,E00000551,1
527,E00000552,4
528,E00000553,3
529,E00000554,2
530,E00000555,2
531,E00000556,3
532,E00000557,3
533,E00000558,1
534,E00000559,2
535,E00000560,2
536,E00000561,5
537,E00000562,5
538,E00000563,5
539,E00000564,1
540,E00000565,3
541,E00000566,1
542,E00000567,3
543,E00000568,1
544,E00000569,0
545,E00000570,3
546,E00000571,3
547,E00000572,0
548,E00000573,3
549,E00000574,3
550,E00000575,0
551,E00000576,1
552,E00000577,3
553,E00000578,5
554,E00000579,1
555,E00000580,1
556,E00000581,3
557,E00000582,1
558,E00000583,3
559,E00000584,4
560,E00000585,2
561,E00000586,3
562,E00000587,3
563,E00000588,2
564,E00000589,1
565,E00000590,5
566,E00000591,5
567,E00000592,4
568,E00000593,1
569,E00000594,1
570,E00000595,5
571,E00000596,1
572,E00000597,1
573,E00000598,2
574,E00000600,1
575,E00000601,3
576,E00000602,1
577,E00000603,1
578,E00000604,2
579,E00000605,2
580,E00000606,2
581,E00000607,1
582,E00000608,3
583,E00000609,1
584,E00000610,5
585,E00000611,4
586,E00000612,1
587,E00000613,5
588,E00000614,2
589,E00000615,5
590,E00000616,1
591,E00000617,3
592,E00000618,2
593,E00000619,1
594,E00000620,3
595,E00000622,4
596,E00000623,2
597,E00000624,4
598,E00000625,3
599,E00000626,1
600,E00000627,1
601,E00000628,4
602,E00000629,3
603,E00000630,3
604,E00000631,4
605,E00000632,3
606,E00000633,4
607,E00000634,2
608,E00000635,1
609,E00000636,5
610,E00000637,2
611,E00000638,4
612,E00000640,3
613,E00000641,5
614,E00000642,4
615,E00000643,1
616,E00000644,1
617,E00000645,1
618,E00000646,2
619,E00000647,3
620,E00000648,0
621,E00000649,2
622,E00000650,2
623,E00000651,3
624,E00000652,5
625,E00000653,3
626,E00000654,1
627,E00000655,4
628,E00000656,5
629,E00000657,4
630,E00000658,5
631,E00000659,5
632,E00000660,3
633,E00000661,4
634,E00000662,2
635,E00000663,3
636,E00000664,1
637,E00000665,3
638,E00000666,1
639,E00000667,3
640,E00000668,0
641,E00000669,1
642,E00000670,2
643,E00000671,1
644,E00000672,1
645,E00000674,5
646,E00000675,1
647,E00000676,1
648,E00000677,0
649,E00000678,1
650,E00000679,0
651,E00000680,0
652,E00000681,0
653,E00000682,2
654,E00000683,3
655,E00000684,0
656,E00000685,1
657,E00000686,1
658,E00000687,1
659,E00000688,2
660,E00000689,2
661,E00000690,0
662,E00000691,1
663,E00000692,1
664,E00000693,0
665,E00000694,1
666,E00000695,5
667,E00000696,1
668,E00000697,5
669,E00000698,1
670,E00000699,1
671,E00000700,1
672,E00000701,5
673,E00000702,0
674,E00000703,2
675,E00000704,1
676,E00000705,2
677,E00000706,4
678,E00000707,2
679,E00000708,1
680,E00000709,5
681,E00000710,1
682,E00000711,1
683,E00000712,1
684,E00000713,4
685,E00000714,5
686,E00000715,5
687,E00000716,4
688,E00000717,2
689,E00000718,3
690,E00000719,5
691,E00000720,1
692,E00000721,1
693,E00000722,5
694,E00000723,4
695,E00000724,0
696,E00000725,2
697,E00000726,1
698,E00000727,2
699,E00000728,1
700,E00000729,3
701,E00000730,3
702,E00000731,1
703,E00000732,1
704,E00000733,0
705,E00000734,1
706,E00000736,1
707,E00000737,1
708,E00000738,1
709,E00000739,3
710,E00000740,1
711,E00000742,4
712,E00000743,4
713,E00000744,3
714,E00000745,2
715,E00000746,4
716,E00000747,3
