,sil_scores,n_cluster
0,-0.029086816493877805,5
1,-0.027158648772808082,6
2,-0.03233500880041751,7
3,-0.031165495444659703,8
4,-0.029841837154670436,9
5,-0.03275539890158991,10
6,-0.03375757983549913,11
7,-0.03323626176201234,12
8,-0.031918815395400514,13
9,-0.03092244921982659,14
10,-0.03029936647599344,15
11,-0.04005245639909492,16
12,-0.04513391706868729,17
13,-0.047477574879006085,18
14,-0.046693559734552366,19
