,infuse_oa_lyr_2011,new_labels
0,E00000001,0
1,E00000003,6
2,E00000005,0
3,E00000007,0
4,E00000010,0
5,E00000012,2
6,E00000013,0
7,E00000014,6
8,E00000016,4
9,E00000017,0
10,E00000018,2
11,E00000019,0
12,E00000020,0
13,E00000021,0
14,E00000022,6
15,E00000023,5
16,E00000024,0
17,E00000025,0
18,E00000026,0
19,E00000027,0
20,E00000028,0
21,E00000029,0
22,E00000030,0
23,E00000031,3
24,E00000032,4
25,E00000035,0
26,E00000037,4
27,E00000038,1
28,E00000039,0
29,E00000040,0
30,E00000041,2
31,E00000042,4
32,E00000043,6
33,E00000045,3
34,E00000046,2
35,E00000048,6
36,E00000049,0
37,E00000050,3
38,E00000051,3
39,E00000052,5
40,E00000053,2
41,E00000054,0
42,E00000055,2
43,E00000056,0
44,E00000057,3
45,E00000059,0
46,E00000060,3
47,E00000061,6
48,E00000062,2
49,E00000063,4
50,E00000064,6
51,E00000065,3
52,E00000066,6
53,E00000067,3
54,E00000068,3
55,E00000069,3
56,E00000070,6
57,E00000071,3
58,E00000072,2
59,E00000073,4
60,E00000074,3
61,E00000075,3
62,E00000076,1
63,E00000077,3
64,E00000078,5
65,E00000079,5
66,E00000080,2
67,E00000081,2
68,E00000082,5
69,E00000083,3
70,E00000084,3
71,E00000085,3
72,E00000086,6
73,E00000087,2
74,E00000088,3
75,E00000090,5
76,E00000091,4
77,E00000092,1
78,E00000093,0
79,E00000094,3
80,E00000095,0
81,E00000096,0
82,E00000097,5
83,E00000098,4
84,E00000099,6
85,E00000100,2
86,E00000101,6
87,E00000102,6
88,E00000103,2
89,E00000104,2
90,E00000106,5
91,E00000107,4
92,E00000108,2
93,E00000109,6
94,E00000110,6
95,E00000111,6
96,E00000112,5
97,E00000113,6
98,E00000114,6
99,E00000115,6
100,E00000116,3
101,E00000117,5
102,E00000118,5
103,E00000119,5
104,E00000120,4
105,E00000121,5
106,E00000122,6
107,E00000123,6
108,E00000124,3
109,E00000125,2
110,E00000126,3
111,E00000127,5
112,E00000128,1
113,E00000129,3
114,E00000130,4
115,E00000131,6
116,E00000132,6
117,E00000133,3
118,E00000134,6
119,E00000135,3
120,E00000136,2
121,E00000137,4
122,E00000138,2
123,E00000139,3
124,E00000140,6
125,E00000141,3
126,E00000142,3
127,E00000143,3
128,E00000144,2
129,E00000145,2
130,E00000146,4
131,E00000147,3
132,E00000148,2
133,E00000149,1
134,E00000150,3
135,E00000151,0
136,E00000152,0
137,E00000153,3
138,E00000154,0
139,E00000155,0
140,E00000156,1
141,E00000157,4
142,E00000158,2
143,E00000159,2
144,E00000160,0
145,E00000161,5
146,E00000162,3
147,E00000163,5
148,E00000164,5
149,E00000165,5
150,E00000166,3
151,E00000167,6
152,E00000168,3
153,E00000169,6
154,E00000170,4
155,E00000171,6
156,E00000172,1
157,E00000173,2
158,E00000174,5
159,E00000175,0
160,E00000176,1
161,E00000177,4
162,E00000178,4
163,E00000179,4
164,E00000180,0
165,E00000181,5
166,E00000182,4
167,E00000183,2
168,E00000184,4
169,E00000185,3
170,E00000186,4
171,E00000187,5
172,E00000188,3
173,E00000189,2
174,E00000190,2
175,E00000191,4
176,E00000192,5
177,E00000193,6
178,E00000194,3
179,E00000195,0
180,E00000196,6
181,E00000197,6
182,E00000198,6
183,E00000199,2
184,E00000200,5
185,E00000201,5
186,E00000202,3
187,E00000203,4
188,E00000204,3
189,E00000205,0
190,E00000206,6
191,E00000207,3
192,E00000208,6
193,E00000209,3
194,E00000210,3
195,E00000211,1
196,E00000212,2
197,E00000213,0
198,E00000214,1
199,E00000215,2
200,E00000216,0
201,E00000217,1
202,E00000218,6
203,E00000219,6
204,E00000220,4
205,E00000221,6
206,E00000222,5
207,E00000223,6
208,E00000224,4
209,E00000225,0
210,E00000226,2
211,E00000227,6
212,E00000228,3
213,E00000229,5
214,E00000230,6
