,labels
0,0
1,4
2,4
3,4
4,4
5,0
6,4
7,4
8,4
9,4
10,0
11,4
12,4
13,4
14,0
15,0
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,0
27,5
28,0
29,0
30,0
31,3
32,3
33,5
34,0
35,5
36,2
37,2
38,3
39,2
40,2
41,4
42,5
43,0
44,5
45,0
46,3
47,5
48,0
49,3
50,3
51,0
52,2
53,5
54,2
55,0
56,1
57,3
58,5
59,2
60,5
61,0
62,5
63,0
64,3
65,0
66,0
67,0
68,3
69,5
70,2
71,3
72,2
73,0
74,5
75,5
76,3
77,3
78,0
79,2
80,0
81,0
82,0
83,5
84,1
85,0
86,2
87,2
88,2
89,4
90,1
91,2
92,2
93,1
94,3
95,2
96,1
97,2
98,0
99,2
100,1
101,0
102,0
103,2
104,2
105,0
106,2
107,5
108,0
109,0
110,5
111,0
112,5
113,5
114,0
115,1
116,2
117,2
118,2
119,3
120,0
121,3
122,0
123,3
124,2
125,3
126,3
127,3
128,3
129,2
130,3
131,0
132,2
133,2
134,0
135,0
136,0
137,3
138,5
139,0
140,3
141,3
142,0
143,3
144,3
145,1
146,5
147,0
148,3
149,2
150,2
151,2
152,3
153,5
154,3
155,0
156,5
157,0
158,3
159,3
160,1
161,3
162,2
163,3
164,0
165,2
166,0
167,0
168,1
169,3
170,1
171,2
172,1
173,0
174,0
175,4
176,5
177,5
178,1
179,0
180,5
181,1
182,3
183,3
184,5
185,0
186,0
187,2
188,0
189,0
190,5
191,0
192,2
193,1
194,5
195,0
196,5
197,0
198,1
199,5
200,0
201,0
202,5
203,3
204,0
205,1
206,0
207,5
208,2
209,0
210,0
211,0
212,0
213,2
214,1
215,2
216,0
217,0
218,5
219,1
220,1
221,2
222,2
223,5
224,2
225,2
226,5
227,0
228,5
229,5
230,3
231,0
232,0
233,3
234,3
235,0
236,5
237,2
238,0
239,5
240,1
241,0
242,3
243,5
244,0
245,5
246,3
247,0
248,2
249,5
250,5
251,0
252,2
253,3
254,5
255,1
256,0
257,1
258,3
259,2
260,0
261,0
262,3
263,0
264,5
265,2
266,0
267,5
268,0
269,5
270,5
271,5
272,5
273,1
274,0
275,0
276,0
277,3
278,3
279,5
280,0
281,2
282,2
283,2
284,0
285,2
286,5
287,0
288,5
289,3
290,2
291,5
292,0
293,1
294,3
295,0
296,5
297,0
298,5
299,2
300,0
301,0
302,0
303,5
304,0
305,3
306,0
307,5
308,5
309,5
310,1
311,5
312,1
313,5
314,2
315,0
316,0
317,2
318,1
319,0
320,0
321,0
322,0
323,0
324,3
325,5
326,5
327,4
328,0
329,2
330,0
331,4
332,2
333,1
334,5
335,5
336,5
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,2
345,2
346,2
347,5
348,2
349,0
350,2
351,1
352,3
353,2
354,5
355,3
356,5
357,3
358,2
359,3
360,5
361,3
362,3
363,2
364,5
365,0
366,2
367,0
368,5
369,2
370,0
371,1
372,0
373,2
374,1
375,0
376,1
377,3
378,1
379,0
380,0
381,5
382,3
383,2
384,2
385,0
386,2
387,1
388,1
389,0
390,0
391,0
392,2
393,5
394,3
395,2
396,0
397,5
398,2
399,5
400,5
401,0
402,0
403,5
404,3
405,2
406,0
407,3
408,0
409,1
410,5
411,0
412,5
413,3
414,2
415,3
416,0
417,0
418,0
419,0
420,2
421,5
422,2
423,5
424,1
425,1
426,0
427,0
428,5
429,0
430,0
431,3
432,0
433,2
434,0
435,0
436,1
437,2
438,0
439,0
440,0
441,0
442,2
443,2
444,3
445,0
446,0
447,0
448,0
449,0
450,0
451,1
452,0
453,0
454,1
455,1
456,2
457,0
458,5
459,0
460,0
461,0
462,3
463,3
464,0
465,0
466,1
467,0
468,5
469,0
470,3
471,5
472,3
473,0
474,1
475,1
476,1
477,5
478,2
479,5
480,2
481,2
482,2
483,1
484,0
485,0
486,0
487,5
488,5
489,2
490,5
491,2
492,3
493,5
494,2
495,3
496,5
497,2
498,2
499,5
500,0
501,3
502,2
503,5
504,5
505,0
506,5
507,1
508,0
509,1
510,1
511,5
512,2
513,0
514,2
515,0
516,0
517,2
518,2
519,1
520,3
521,0
522,2
523,2
524,4
525,3
526,5
527,5
528,5
529,5
530,1
531,0
532,1
533,0
534,1
535,5
536,0
537,1
538,0
539,2
540,2
541,0
542,4
543,0
544,0
545,3
546,0
547,4
548,3
549,2
550,4
551,5
552,5
553,5
554,1
555,5
556,1
557,0
558,2
559,5
560,5
561,4
562,5
563,2
564,3
565,0
566,3
567,0
568,2
569,0
570,5
571,3
572,4
573,5
574,0
575,3
576,0
577,2
578,1
579,3
580,0
581,3
582,1
583,4
584,0
585,5
586,5
587,0
588,1
589,0
590,5
591,0
592,5
593,0
594,2
595,1
596,5
597,5
598,0
599,1
600,5
601,2
602,1
603,2
604,5
605,2
606,3
