,infuse_oa_lyr_2011,new_labels
0,E00000001,4
1,E00000003,2
2,E00000005,4
3,E00000007,0
4,E00000010,0
5,E00000012,4
6,E00000013,0
7,E00000014,4
8,E00000016,1
9,E00000017,0
10,E00000018,0
11,E00000019,0
12,E00000020,2
13,E00000021,0
14,E00000022,4
15,E00000023,2
16,E00000024,0
17,E00000025,0
18,E00000026,0
19,E00000027,0
20,E00000028,0
21,E00000029,0
22,E00000030,0
23,E00000031,0
24,E00000032,2
25,E00000035,0
26,E00000037,3
27,E00000038,2
28,E00000039,4
29,E00000040,2
30,E00000041,2
31,E00000042,3
32,E00000043,4
33,E00000045,4
34,E00000046,4
35,E00000048,2
36,E00000049,1
37,E00000050,3
38,E00000051,3
39,E00000052,4
40,E00000053,4
41,E00000054,4
42,E00000055,4
43,E00000056,0
44,E00000057,1
45,E00000059,0
46,E00000060,0
47,E00000061,0
48,E00000062,0
49,E00000063,2
50,E00000064,2
51,E00000065,0
52,E00000066,4
53,E00000067,2
54,E00000068,1
55,E00000069,4
56,E00000070,1
57,E00000071,1
58,E00000072,2
59,E00000073,4
60,E00000074,4
61,E00000075,2
62,E00000076,1
63,E00000077,0
64,E00000078,2
65,E00000079,4
66,E00000080,2
67,E00000081,0
68,E00000082,1
69,E00000083,4
70,E00000084,1
71,E00000085,0
72,E00000086,0
73,E00000087,4
74,E00000088,0
75,E00000090,2
76,E00000091,2
77,E00000092,3
78,E00000093,0
79,E00000094,1
80,E00000095,4
81,E00000096,0
82,E00000097,0
83,E00000098,4
84,E00000099,4
85,E00000100,4
86,E00000101,4
87,E00000102,4
88,E00000103,4
89,E00000104,4
90,E00000106,2
91,E00000107,2
92,E00000108,3
93,E00000109,2
94,E00000110,2
95,E00000111,4
96,E00000112,1
97,E00000113,4
98,E00000114,2
99,E00000115,4
100,E00000116,0
101,E00000117,2
102,E00000118,4
103,E00000119,3
104,E00000120,3
105,E00000121,4
106,E00000122,2
107,E00000123,2
108,E00000124,2
109,E00000125,4
110,E00000126,3
111,E00000127,2
112,E00000128,2
113,E00000129,4
114,E00000130,1
115,E00000131,1
116,E00000132,2
117,E00000133,1
118,E00000134,2
119,E00000135,4
120,E00000136,4
121,E00000137,1
122,E00000138,2
123,E00000139,1
124,E00000140,2
125,E00000141,0
126,E00000142,3
127,E00000143,4
128,E00000144,2
129,E00000145,2
130,E00000146,2
131,E00000147,2
132,E00000148,3
133,E00000149,3
134,E00000150,4
135,E00000151,2
136,E00000152,0
137,E00000153,4
138,E00000154,1
139,E00000155,0
140,E00000156,1
141,E00000157,4
142,E00000158,1
143,E00000159,1
144,E00000160,0
145,E00000161,4
146,E00000162,3
147,E00000163,0
148,E00000164,4
149,E00000165,2
150,E00000166,0
151,E00000167,4
152,E00000168,0
153,E00000169,4
154,E00000170,0
155,E00000171,4
156,E00000172,0
157,E00000173,0
158,E00000174,0
159,E00000175,0
160,E00000176,2
161,E00000177,2
162,E00000178,2
163,E00000179,2
164,E00000180,0
165,E00000181,4
166,E00000182,3
167,E00000183,2
168,E00000184,2
169,E00000185,2
170,E00000186,2
171,E00000187,1
172,E00000188,4
173,E00000189,0
174,E00000190,0
175,E00000191,0
176,E00000192,2
177,E00000193,4
178,E00000194,0
179,E00000195,2
180,E00000196,0
181,E00000197,1
182,E00000198,4
183,E00000199,2
184,E00000200,0
185,E00000201,2
186,E00000202,2
