,infuse_oa_lyr_2011,new_labels
0,E00000001,4
1,E00000003,1
2,E00000005,1
3,E00000007,1
4,E00000010,1
5,E00000012,4
6,E00000013,4
7,E00000014,3
8,E00000016,1
9,E00000017,1
10,E00000018,1
11,E00000019,1
12,E00000020,1
13,E00000021,1
14,E00000022,4
15,E00000023,4
16,E00000024,1
17,E00000025,1
18,E00000026,1
19,E00000027,1
20,E00000028,1
21,E00000029,1
22,E00000030,1
23,E00000031,3
24,E00000032,3
25,E00000035,1
26,E00000037,2
27,E00000038,3
28,E00000039,4
29,E00000040,1
30,E00000041,2
31,E00000042,2
32,E00000043,4
33,E00000045,1
34,E00000046,1
35,E00000048,3
36,E00000049,2
37,E00000050,4
38,E00000051,2
39,E00000052,2
40,E00000053,4
41,E00000054,4
42,E00000055,2
43,E00000056,1
44,E00000057,4
45,E00000059,1
46,E00000060,3
47,E00000061,1
48,E00000062,1
49,E00000063,1
50,E00000064,4
51,E00000065,4
52,E00000066,4
53,E00000067,1
54,E00000068,4
55,E00000069,1
56,E00000070,2
57,E00000071,4
58,E00000072,2
59,E00000073,1
60,E00000074,4
61,E00000075,1
62,E00000076,1
63,E00000077,3
64,E00000078,3
65,E00000079,3
66,E00000080,4
67,E00000081,1
68,E00000082,4
69,E00000083,2
70,E00000084,3
71,E00000085,1
72,E00000086,3
73,E00000087,3
74,E00000088,1
75,E00000090,1
76,E00000091,4
77,E00000092,4
78,E00000093,1
79,E00000094,4
80,E00000095,4
81,E00000096,1
82,E00000097,4
83,E00000098,1
84,E00000099,2
85,E00000100,2
86,E00000101,4
87,E00000102,3
88,E00000103,4
89,E00000104,1
90,E00000106,2
91,E00000107,0
92,E00000108,4
93,E00000109,0
94,E00000110,4
95,E00000111,1
96,E00000112,4
97,E00000113,4
98,E00000114,1
99,E00000115,1
100,E00000116,3
101,E00000117,4
102,E00000118,2
103,E00000119,3
104,E00000120,4
105,E00000121,1
106,E00000122,4
107,E00000123,4
108,E00000124,4
109,E00000125,4
110,E00000126,4
111,E00000127,2
112,E00000128,4
113,E00000129,4
114,E00000130,1
115,E00000131,4
116,E00000132,4
117,E00000133,4
118,E00000134,1
119,E00000135,1
120,E00000136,4
121,E00000137,1
122,E00000138,4
123,E00000139,2
124,E00000140,1
125,E00000141,4
126,E00000142,4
127,E00000143,3
128,E00000144,4
