,labels
0,3
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,0
15,3
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,1
27,1
28,4
29,4
30,3
31,1
32,3
33,2
34,3
35,3
36,0
37,1
38,3
39,3
40,3
41,4
42,2
43,0
44,1
45,4
46,3
47,3
48,4
49,0
50,1
51,3
52,0
53,3
54,3
55,3
56,2
57,3
58,0
59,3
60,1
61,1
62,2
63,1
64,2
65,0
66,0
67,3
68,1
69,3
70,1
71,3
72,3
73,3
74,3
75,0
76,0
77,2
78,0
79,3
80,4
81,4
82,1
83,0
84,1
85,3
86,3
87,1
88,1
89,1
90,1
91,3
92,0
93,2
94,0
95,3
96,2
97,3
98,1
99,0
100,1
101,2
102,0
103,0
104,3
105,0
106,3
107,2
108,5
109,0
110,0
111,0
112,2
113,2
114,0
115,2
116,1
117,1
118,3
119,0
120,3
121,0
122,5
123,2
124,2
125,1
126,0
127,2
128,0
129,0
130,1
131,1
132,2
133,2
134,1
135,0
136,0
137,3
138,1
139,3
140,1
141,2
142,1
143,3
144,0
145,2
146,5
147,2
148,2
149,2
150,1
151,5
152,3
153,3
154,2
155,5
156,3
157,0
158,1
159,0
160,1
161,0
162,3
163,0
164,0
165,0
166,5
167,0
168,3
169,3
170,0
171,2
172,5
173,0
174,0
175,3
176,2
177,5
178,2
179,0
180,1
181,1
182,1
183,4
184,5
185,3
186,3
187,3
188,3
189,3
190,1
191,0
192,0
193,5
194,2
195,3
196,0
197,4
198,1
199,2
200,0
201,2
202,1
203,0
204,3
205,2
206,3
207,0
208,0
209,1
210,0
211,3
212,3
213,3
214,3
215,3
216,0
217,1
218,3
219,5
220,3
221,3
222,2
223,2
224,1
225,3
226,0
227,1
228,3
229,0
230,3
231,0
232,3
233,0
234,0
235,1
236,2
237,0
238,1
239,2
240,3
241,3
242,1
243,3
244,5
245,1
246,3
247,0
248,2
249,3
250,5
251,5
252,0
253,3
254,3
255,3
256,0
257,2
258,0
259,0
260,2
261,1
262,0
263,3
264,0
265,2
266,0
267,0
268,2
269,2
270,1
271,1
272,1
273,2
274,1
275,0
276,5
277,1
278,2
279,0
280,0
281,3
282,2
283,3
284,0
285,0
286,3
287,1
288,0
289,5
290,4
291,2
292,0
293,0
294,3
295,5
296,2
297,5
298,2
299,0
300,5
301,0
302,5
303,1
304,0
305,0
306,1
307,0
308,1
309,2
310,1
311,3
312,2
313,1
314,3
315,0
316,0
317,0
318,5
319,1
320,0
321,0
322,1
323,0
324,2
325,1
326,0
327,4
328,2
329,5
330,5
331,0
332,3
333,3
334,2
335,0
336,1
337,0
338,5
339,0
340,2
341,0
342,0
343,0
344,1
345,3
346,1
347,0
348,1
349,5
350,2
351,1
352,1
353,3
354,1
355,3
356,1
357,3
358,2
359,0
360,2
361,5
362,2
363,3
364,1
365,4
366,3
367,5
368,2
369,0
370,0
371,2
372,1
373,0
374,5
375,3
376,1
377,3
378,3
379,0
380,0
381,1
382,5
383,2
384,0
385,3
386,5
387,2
388,3
389,3
390,0
391,0
392,3
393,2
394,0
395,2
396,1
397,2
398,5
399,0
400,1
401,0
402,1
403,0
404,1
405,3
406,2
407,1
408,0
409,2
410,2
411,0
412,2
413,0
414,0
415,3
416,5
417,0
418,3
419,0
420,2
421,3
422,2
423,0
424,5
425,0
426,3
427,0
428,0
429,0
430,0
431,3
432,4
433,3
434,5
435,0
436,1
437,3
438,0
439,0
440,0
441,2
442,2
443,2
444,3
445,4
446,0
447,4
448,0
449,0
450,3
451,5
452,2
453,1
454,5
455,5
456,0
457,5
458,2
459,2
460,3
461,0
462,0
463,3
464,2
465,3
466,1
467,0
468,1
469,0
470,1
471,3
472,2
473,2
474,0
475,2
476,0
477,2
478,4
479,3
480,0
481,2
482,2
483,2
484,3
485,3
486,0
487,1
488,3
489,2
490,3
491,0
492,3
493,0
494,3
495,0
496,0
497,3
498,2
499,2
500,1
501,1
502,3
503,2
504,5
505,3
506,2
507,3
508,5
509,5
510,0
511,3
512,3
513,3
514,0
515,3
516,3
517,2
518,0
519,1
520,3
521,0
522,2
523,0
524,0
525,0
526,0
527,2
528,3
529,1
530,1
531,3
532,3
533,0
534,1
535,1
536,5
537,5
538,5
539,0
540,3
541,0
542,3
543,0
544,4
545,3
546,3
547,4
548,3
549,3
550,4
551,0
552,3
553,5
554,0
555,0
556,3
557,0
558,3
559,2
560,1
561,3
562,3
563,1
564,0
565,5
566,5
567,2
568,0
569,0
570,5
571,0
572,0
573,1
574,0
575,3
576,0
577,0
578,1
579,1
580,1
581,0
582,3
583,0
584,5
585,2
586,0
587,5
588,1
589,5
590,0
591,3
592,1
593,0
594,3
595,2
596,1
597,2
598,3
599,0
600,0
601,2
602,3
603,3
604,2
605,3
606,2
607,1
608,0
609,5
610,1
611,2
612,3
613,5
614,2
615,0
616,0
617,0
618,1
619,3
620,4
621,1
622,1
623,3
624,5
625,3
626,0
627,2
628,5
629,2
630,5
631,5
632,3
633,2
634,1
635,3
636,0
637,3
638,0
639,3
640,4
641,0
642,1
643,0
644,0
645,5
646,0
647,0
648,4
649,0
650,4
651,4
652,4
653,1
654,3
655,4
656,0
657,0
658,0
659,1
660,1
661,4
662,0
663,0
664,4
665,0
666,5
667,0
668,5
669,0
670,0
671,0
672,5
673,4
674,1
675,0
676,1
677,2
678,1
679,0
680,5
681,0
682,0
683,0
684,2
685,5
686,5
687,2
688,1
689,3
690,5
691,0
692,0
693,5
694,2
695,4
696,1
697,0
698,1
699,0
700,3
701,3
702,0
703,0
704,4
705,0
706,0
707,0
708,0
709,3
710,0
711,2
712,2
713,3
714,1
715,2
716,3
717,0
718,0
719,3
720,0
721,3
722,1
723,1
724,3
725,1
726,3
727,4
728,4
729,4
730,4
731,3
732,0
733,0
734,3
735,4
736,2
737,0
738,0
739,3
740,1
741,1
742,0
743,5
744,0
745,0
746,0
747,3
748,0
749,0
750,1
751,3
752,3
753,3
754,5
755,0
756,3
757,0
758,1
759,0
760,3
761,1
762,3
763,2
764,2
765,3
766,3
767,1
768,1
769,0
770,0
771,0
772,2
773,3
774,3
775,2
776,5
777,1
778,3
779,3
780,4
781,3
782,0
783,0
784,3
785,0
786,5
787,3
788,0
789,5
790,0
791,2
792,2
793,1
794,0
795,3
796,0
797,2
798,5
799,2
800,5
801,1
802,4
803,5
804,3
805,2
806,0
807,4
808,1
809,0
810,4
811,0
812,0
813,0
814,1
815,3
816,1
817,0
818,0
819,2
820,3
821,3
822,3
823,2
824,3
825,1
826,4
827,4
828,1
829,0
830,1
831,0
832,5
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,3
842,0
843,3
844,1
845,5
846,3
847,4
848,2
849,3
850,2
851,2
852,3
853,1
854,0
855,0
856,1
857,1
858,3
859,2
860,3
861,2
862,2
863,3
864,0
865,3
866,2
867,0
868,2
869,1
870,0
871,0
872,5
873,0
874,0
875,3
876,0
877,0
878,0
879,3
880,4
881,0
882,4
883,3
884,1
885,5
886,1
887,1
888,0
889,0
890,3
891,1
892,1
893,5
894,2
895,5
896,0
897,5
898,0
899,5
900,1
901,0
902,5
903,0
904,0
905,3
906,5
907,0
908,0
909,0
910,0
911,5
912,0
913,0
914,0
915,1
916,0
917,0
918,0
919,0
920,0
921,5
922,1
923,1
924,2
925,0
926,0
927,0
928,0
929,0
930,5
931,5
932,0
933,5
934,2
935,3
936,5
937,1
938,3
939,5
940,5
941,0
942,0
943,5
944,0
945,2
946,5
947,0
948,1
949,1
950,4
951,5
952,0
953,4
954,5
955,0
956,3
957,0
958,0
959,2
960,5
961,0
962,5
963,5
964,0
965,0
966,3
967,0
968,3
969,1
970,0
971,5
972,5
