,index,Agriculture,Green space and recreational land,High density residential with retail and commercial sites,Industrial areas,Large complex buildings various use (travel/recreation/ retail),Low density residential with amenities (suburbs and small villages / hamlets),Medium density residential with high streets and amenities,Principle Transport,Urban centres - mainly commercial/retail with residential pockets,Water,new_labels_0,new_labels_1,new_labels_2,new_labels_3,new_labels_4,new_labels_5,new_labels_6,new_labels_7,new_labels_8,supergroup
43,E00006750,0.0,0.0,26799.53,0.0,682.58,119.86,0.0,0.0,7321.28,0.0,1,4,4,6,5,4,2,2,1,5
44,E00023635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10974.65,0.0,2,3,6,3,5,4,2,3,1,2
45,E00012992,0.0,0.0,56939.52,31917.99,0.0,14341.72,0.0,0.0,0.0,0.0,0,4,2,0,4,1,0,0,1,3
46,E00000241,0.0,0.0,618.95,0.0,0.0,0.0,14693.5,0.0,0.0,0.0,4,6,5,3,1,4,4,1,2,3
47,E00003155,0.0,21659.89,5442.06,0.0,0.0,38904.05,13765.85,621.16,0.0,0.0,1,3,6,0,3,4,2,4,2,4
48,E00020016,0.0,0.0,12050.7,0.0,0.0,0.0,0.0,4188.8,0.0,0.0,1,6,0,7,4,4,3,2,0,3
49,E00002240,0.0,0.0,46124.71,0.0,0.0,0.0,0.0,5569.51,0.0,0.0,1,5,2,0,0,1,0,0,0,8
50,E00001195,0.0,0.0,1904.63,0.0,0.0,60.84,62816.83,0.0,0.0,0.0,1,2,0,5,0,1,0,0,4,5
51,E00022791,0.0,0.0,21648.84,0.0,0.0,0.0,0.0,8049.38,12054.94,0.0,3,0,2,3,3,1,0,0,1,3
52,E00015950,0.0,0.0,0.0,0.0,0.0,13535.02,0.0,842.81,0.0,0.0,5,1,6,4,5,4,3,0,2,3
53,E00023774,0.0,3.9,109.47,0.0,0.0,29.51,9649.46,0.0,3726.05,0.0,3,4,3,0,0,1,0,3,1,3
54,E00013668,0.0,1.29,3893.55,0.0,0.0,3919.13,0.0,1643.42,0.0,0.0,2,3,3,0,0,1,2,2,0,3
55,E00010635,0.0,0.0,160.72,0.0,0.0,431.85,43699.94,0.0,0.0,0.0,2,4,3,4,1,3,2,4,2,5
56,E00018199,0.0,23052.54,103416.02,134144.2,0.0,59480.19,10767.39,33836.86,0.0,316836.22,1,0,0,0,4,4,2,0,2,3
57,E00000059,0.0,0.0,799.68,0.0,0.0,0.0,11811.29,20557.61,0.0,0.0,1,6,0,0,0,1,2,0,0,2
58,E00003093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12454.94,0.0,2,2,4,5,1,4,3,2,4,3
59,E00001566,0.0,468.79,446.41,0.0,0.0,37199.58,469.46,0.0,0.0,0.0,5,4,1,5,3,3,4,1,4,5
60,E00019948,0.0,0.0,3965.4,0.0,0.0,0.0,0.0,0.0,7663.44,0.0,4,1,4,5,0,4,2,4,5,2
61,E00005211,0.0,124315.69,20764.54,0.0,0.0,19335.64,853.3599999999999,4482.13,0.0,0.0,0,4,0,0,4,1,0,0,0,2
62,E00009602,0.0,8986.14,72.37,0.0,0.0,37767.06,0.0,3373.05,20242.55,0.0,5,4,2,3,0,4,4,1,2,2
63,E00167137,0.0,0.0,273.55,42.84,0.0,0.0,1077.81,6866.51,303.43,33013.25,3,3,4,1,1,4,2,2,2,2
64,E00006190,0.0,4797.46,6559.15,21337.89,0.0,92139.67,0.0,69745.23,3391.34,2725.6,1,6,0,3,0,3,0,4,0,5
65,E00007938,0.0,7940.14,2995.26,0.0,0.0,36014.450000000004,0.0,3522.02,0.0,0.0,1,6,0,0,0,1,2,2,1,8
66,E00010942,325.47,295.31,0.0,0.0,0.0,77163.35,0.0,0.0,0.0,0.0,2,2,3,0,0,3,1,1,2,8
67,E00002833,0.0,74164.28,0.0,0.0,0.0,32085.78,0.0,0.0,26317.07,0.0,1,4,5,6,4,4,3,1,1,2
68,E00000269,0.0,25273.83,0.0,0.0,0.0,28388.79,6649.71,0.0,0.0,0.0,3,2,1,0,0,4,0,0,3,5
69,E00017254,0.0,4.6,26189.61,173.63,0.0,7941.1,0.0,618.63,0.0,0.0,3,6,3,0,4,1,3,1,4,5
70,E00021914,0.0,18332.95,0.0,0.0,0.0,56683.61,254.18,15371.06,0.0,0.0,5,1,1,2,4,4,3,4,5,5
71,E00012769,0.0,32.86,1593.6,0.0,0.0,69.36,136.87,0.0,13555.57,0.0,2,1,4,5,4,4,0,3,2,2
72,E00020342,0.0,0.0,8294.97,2208.6,0.0,0.0,4026.39,0.0,0.0,0.0,3,4,6,5,3,4,2,0,2,2
73,E00016637,0.0,17025.19,44151.240000000005,17833.09,0.0,0.0,0.0,28665.26,6098.91,0.0,0,6,0,0,4,1,0,0,0,3
74,E00001427,0.0,33.0,0.0,0.0,0.0,20087.06,20201.86,1829.2,0.0,0.0,1,1,3,0,3,1,0,1,2,8
75,E00018810,0.0,0.0,31897.56,0.0,0.0,6035.92,45.41,0.0,0.0,0.0,3,5,3,0,4,1,2,4,1,5
76,E00014633,0.0,30.39,22997.36,0.0,0.0,16.2,9.64,0.0,0.0,0.0,3,3,0,0,1,4,0,4,1,3
77,E00013597,0.0,0.0,3127.21,0.0,0.0,6654.47,0.0,16039.2,32149.32,0.0,3,0,2,1,0,3,2,1,1,2
78,E00171089,0.0,1977.92,16679.95,0.0,0.0,19652.46,16886.28,6490.4400000000005,0.0,0.0,1,1,0,0,3,1,0,0,1,5
79,E00017451,0.0,13884.739999999998,0.0,0.0,0.0,44030.6,0.0,0.0,0.0,0.0,5,4,5,3,3,4,1,4,2,5
80,E00174956,0.0,58.33,0.0,0.0,0.0,0.0,63.96,1070.9,10975.4,0.0,4,1,2,1,0,3,4,2,1,2
81,E00015702,0.0,0.0,345.29,0.0,0.0,4283.74,9055.16,825.38,1908.71,0.0,2,2,1,5,1,3,2,4,3,3
82,E00010741,0.0,0.0,0.0,0.0,0.0,45265.4,0.0,0.0,0.0,0.0,1,2,3,1,4,4,3,2,1,5
83,E00000966,0.0,0.0,7386.65,0.0,0.0,18734.77,0.0,4839.18,0.0,0.0,2,1,4,4,0,3,2,0,1,2
84,E00015694,0.0,0.0,13117.52,0.0,0.0,0.0,0.0,658.32,0.0,0.0,1,6,4,6,4,3,2,2,2,2
85,E00000597,0.0,67.32,0.0,0.0,0.0,54455.31,0.0,0.0,0.0,0.0,0,3,3,3,0,4,0,3,1,5
86,E00005297,896.12,704023.51,0.0,0.0,0.0,127180.45,254.03,3758.43,0.0,0.0,3,1,6,0,4,4,4,2,2,6
87,E00023411,0.0,13161.24,11002.79,0.0,0.0,11223.46,16721.56,0.0,0.0,0.0,3,4,4,3,4,4,2,2,2,5
88,E00006643,0.0,68467.34,0.0,18413.08,0.0,668131.9099999999,0.0,7690.01,0.0,21172.05,1,3,5,1,5,1,1,1,1,5
89,E00021674,0.0,0.0,0.0,0.0,0.0,0.0,159.94,0.0,12274.21,0.0,0,1,5,3,2,2,4,4,0,2
90,E00174036,0.0,0.0,4818.74,0.0,0.0,0.0,14491.990000000002,16.46,0.0,0.0,1,5,3,0,4,4,2,1,1,3
91,E00022460,0.0,0.0,5178.82,0.0,0.0,15562.78,0.0,1128.65,0.0,0.0,5,5,3,0,1,1,0,1,3,3
92,E00001991,0.0,13301.0,61546.35,126660.99,0.0,11978.860000000002,11105.54,22031.22,0.0,291695.95,1,0,0,6,4,1,0,0,1,5
93,E00020503,0.0,275132.88,0.0,0.0,0.0,109738.35,0.0,7552.71,0.0,12606.94,5,1,1,2,1,0,1,1,2,8
94,E00176257,0.0,0.0,8724.1,0.0,0.0,2230.25,0.0,0.0,9885.95,1542.38,1,3,5,4,5,4,1,4,3,3
95,E00176305,0.0,0.0,1354.14,790.38,0.0,0.0,0.0,15835.69,19868.17,0.0,2,3,3,1,0,3,0,0,1,2
96,E00015621,0.0,202.72,0.0,0.0,0.0,0.0,0.0,0.0,7435.44,0.0,5,4,5,7,4,1,2,4,4,2
97,E00009951,0.0,8822.59,13831.42,1239.09,0.0,13261.02,0.0,5312.67,0.0,1200.0,2,6,3,3,0,1,2,1,1,3
98,E00014719,0.0,1749.24,0.0,2608.3,0.0,48411.33,0.0,1705.16,0.0,0.0,0,6,2,7,3,4,2,1,0,8
99,E00010442,0.0,0.0,5621.06,0.0,0.0,0.0,0.0,0.0,16069.42,0.0,3,5,1,0,1,1,2,4,4,3
100,E00005439,0.0,0.0,9049.53,0.0,0.0,0.0,0.0,0.0,14222.66,0.0,5,5,4,0,4,1,3,2,3,5
101,E00017477,0.0,0.0,0.0,0.0,0.0,19110.8,12509.1,2873.12,0.0,0.0,5,4,5,5,3,3,4,2,4,5
102,E00001207,0.0,912.03,0.0,0.0,0.0,36922.86,4091.31,0.0,0.0,0.0,5,3,3,7,3,4,3,1,5,5
103,E00167158,0.0,1845.36,78440.94,16410.059999999998,0.0,9283.51,0.0,49435.24,18014.620000000003,30369.67,0,0,0,0,0,1,0,0,0,2
104,E00009476,0.0,0.0,41.35,0.0,0.0,0.0,0.0,0.0,5588.88,0.0,4,4,1,0,5,4,2,1,5,2
105,E00007442,0.0,23115.73,15018.04,84.9,0.0,10378.28,1077.43,9488.47,0.0,312.55,3,3,0,0,0,1,0,2,1,3
106,E00007660,0.0,0.0,0.0,0.0,0.0,25213.0,14772.3,0.0,0.0,0.0,3,3,6,3,2,4,3,3,2,6
